,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.39550395011901857,0.0360698196532216,0.0040313720703125,0.006056621003366267,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 2}",0.6973858120312841,0.6745803597686679,0.6802866670239502,0.6705153590542401,0.6735451038670917,0.6792626603490468,0.009598196573931163,248
1,0.45328187942504883,0.0517421446012573,0.0,0.0,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 3}",0.8268804321979332,0.8192274178452118,0.8240441272299116,0.8154163539021076,0.8170378992721768,0.8205212460894682,0.004306217837302935,227
2,0.5781305313110352,0.13227004231025277,0.003126096725463867,0.006252193450927733,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 4}",0.9160752642422795,0.8955233416592352,0.9117745369195039,0.9092118915297066,0.9069322730783139,0.9079034614858077,0.006894724770822508,204
3,0.6279086112976074,0.0990178282624334,0.0,0.0,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 5}",0.931963484675422,0.919470939959468,0.936704019326026,0.9263469037670387,0.9250679760049481,0.9279106647465806,0.005924586336624888,166
4,0.6800500392913819,0.15606338769431533,0.0031275272369384764,0.006255054473876953,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 6}",0.9395400984640496,0.9220861526901877,0.9412968152341231,0.9360716502683112,0.9281312157995371,0.9334251864912417,0.007252010359208829,101
5,0.5277589321136474,0.07840356054518287,0.0,0.0,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 7}",0.9329521504807363,0.925935562478569,0.9405828558906253,0.9381820342910189,0.9357800863323138,0.9346865378946527,0.005055068339530197,72
6,0.6608391761779785,0.05309533305874215,0.0,0.0,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 8}",0.9361843439952156,0.9277984441042377,0.9375034710402396,0.9372971223599187,0.9396036821902589,0.935677412737974,0.004091666311555902,34
7,0.5418008327484131,0.13244444773008712,0.003124094009399414,0.006248188018798828,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 9}",0.9364895484365018,0.9250207972579713,0.9397436985825854,0.9400636016152785,0.934170889222953,0.9350977070230581,0.005487907995597481,50
8,0.4855941295623779,0.16990790184123256,0.0,0.0,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 10}",0.9350006415929568,0.9245588996084549,0.9413273642474314,0.9160360574235257,0.9307102446313734,0.9295266415007484,0.008686736659729778,155
9,0.5708996772766113,0.13704491115998763,0.006275701522827149,0.007686146185259158,0.1,"(32, 32)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 11}",0.9347772492696598,0.9310782125129053,0.9397038987188251,0.9395189037095355,0.9327530900669992,0.935566270855585,0.0035049245273589,37
10,0.6224201202392579,0.07160817193449188,0.006251335144042969,0.00765629099111494,0.1,"(32, 32)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 12}",0.9377871068843717,0.9292456121639462,0.9421437292346702,0.9378731934622113,0.9313184768373696,0.9356736237165137,0.004721309573454094,35
11,0.503552770614624,0.1569196905307621,0.0,0.0,0.1,"(32, 32)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 13}",0.9383649949738445,0.9244340388527721,0.941178184559241,0.9394287869575972,0.9330363046673801,0.9352884620021669,0.00606938040047644,46
12,0.4563606739044189,0.10233712307508379,0.003124094009399414,0.006248188018798828,0.1,"(32, 32)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 14}",0.9346248794646376,0.9269610099627713,0.9416362858389911,0.9345801005479178,0.9360825138869195,0.9347769579402474,0.00468840653174712,64
13,0.3776517391204834,0.20924087502481656,0.003124570846557617,0.006249141693115234,0.1,"(32,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'rp__n_components': 2}",0.6929905752292025,0.6806838790633729,0.6483991636653071,0.6592053291078898,0.6290973623468874,0.662075261882532,0.022736979865703905,253
14,0.47023639678955076,0.08459093831566157,0.0031226158142089845,0.006245231628417969,0.1,"(32,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'rp__n_components': 3}",0.8206733939210791,0.809280945450365,0.8130536853197456,0.8007867121607212,0.8142241537427266,0.8116037781189274,0.006536528094481808,240
15,0.6712440490722656,0.11805633688545146,0.002718353271484375,0.005436706542968749,0.1,"(32,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'rp__n_components': 4}",0.9143554227281648,0.9055843574175646,0.9059356783137075,0.9092851854207319,0.8975590643676202,0.9065439416495578,0.00548730279846017,213
