,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10193233489990235,0.04031820652804733,0.0,0.0,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 2}",0.5571428571428572,0.5952380952380952,0.5511904761904762,0.5452380952380952,0.5833333333333334,0.5664285714285715,0.01940731797363318,1233
1,0.18878645896911622,0.06218616416270499,0.0031268119812011717,0.006253623962402343,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 3}",0.6190476190476191,0.569047619047619,0.6071428571428571,0.6190476190476191,0.6238095238095238,0.6076190476190476,0.02005660922728829,1226
2,0.25182108879089354,0.1097926916603799,0.0,0.0,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 4}",0.9154761904761904,0.8952380952380953,0.930952380952381,0.8892857142857142,0.9273809523809524,0.9116666666666667,0.016758251766445516,1120
3,0.3248578071594238,0.07002231198305887,0.0,0.0,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 5}",0.9392857142857143,0.9547619047619048,0.9714285714285714,0.9547619047619048,0.9130952380952381,0.9466666666666667,0.01962517241428085,913
4,0.29381136894226073,0.051159569122196394,0.0,0.0,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 6}",0.9619047619047619,0.9357142857142857,0.9523809523809523,0.9452380952380952,0.944047619047619,0.9478571428571427,0.008793421577437807,897
5,0.2514134407043457,0.04428788106970911,0.003124237060546875,0.00624847412109375,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 7}",0.9404761904761905,0.9261904761904762,0.9595238095238096,0.9273809523809524,0.9130952380952381,0.9333333333333333,0.01570345947413444,1025
6,0.17893972396850585,0.027091342158193015,0.003124713897705078,0.006249427795410156,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 8}",0.9238095238095239,0.9178571428571428,0.9166666666666666,0.9273809523809524,0.8976190476190476,0.9166666666666667,0.010296070624018884,1101
7,0.2264026641845703,0.02940132943744221,0.0031242847442626955,0.00624856948852539,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 9}",0.9535714285714286,0.9297619047619048,0.9583333333333334,0.9357142857142857,0.9202380952380952,0.9395238095238095,0.01437275073598724,975
8,0.28032259941101073,0.025702804269587137,0.00653543472290039,0.007438780969462133,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 10}",0.9642857142857143,0.9547619047619048,0.95,0.9285714285714286,0.9369047619047619,0.9469047619047618,0.012724180205607035,907
9,0.23889632225036622,0.03823000428944396,0.0,0.0,0.1,"(32, 32)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 11}",0.9476190476190476,0.9238095238095239,0.9273809523809524,0.930952380952381,0.919047619047619,0.9297619047619049,0.009759000729485321,1051
10,0.18439016342163086,0.03016666223399789,0.0018170833587646484,0.0036341667175292967,0.1,"(32, 32)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 12}",0.9273809523809524,0.9035714285714286,0.9571428571428572,0.925,0.944047619047619,0.9314285714285715,0.018188980242651694,1037
11,0.2672719478607178,0.049091149550545186,0.0,0.0,0.1,"(32, 32)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 13}",0.9571428571428572,0.9535714285714286,0.9416666666666667,0.9214285714285714,0.9464285714285714,0.944047619047619,0.012531140349467434,941
12,0.23601040840148926,0.036141946966853196,0.0004146575927734375,0.000829315185546875,0.1,"(32, 32)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 14}",0.9226190476190477,0.9464285714285714,0.9619047619047619,0.9273809523809524,0.9476190476190476,0.9411904761904764,0.014376694418524292,961
13,0.28907322883605957,0.03640351361119004,0.0,0.0,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 15}",0.9523809523809523,0.955952380952381,0.9476190476190476,0.9488095238095238,0.9666666666666667,0.9542857142857143,0.006842908506285695,823
14,0.25851688385009763,0.06421460144047446,0.0,0.0,0.1,"(32, 32)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 16}",0.9547619047619048,0.9666666666666667,0.9238095238095239,0.9345238095238095,0.9678571428571429,0.9495238095238095,0.017570718788090554,884
15,0.24160075187683105,0.06395260186007783,0.0,0.0,0.1,"(32, 32)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 17}",0.9702380952380952,0.969047619047619,0.9273809523809524,0.95,0.9630952380952381,0.9559523809523809,0.01598965084798172,796
