,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5244874000549317,0.1809743691970635,0.0006551265716552735,0.001310253143310547,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 2}",0.2920891627091088,0.28592263533765994,0.2831918297034576,0.28689926875142824,0.28780454042081954,0.2871814873844948,0.0029001791814447626,205
1,0.9006123065948486,0.32106809133212777,0.003124523162841797,0.006249046325683594,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 3}",0.44424015852587284,0.43912964811693184,0.4440225702684174,0.436472780326601,0.43868761975074266,0.44051055539771306,0.003091207361586468,188
2,0.6273866653442383,0.19517476294989625,0.003124713897705078,0.006249427795410156,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 4}",0.558619293185496,0.581760783704019,0.5946796423282847,0.5571282518223896,0.5585403805436105,0.57014567031676,0.015322009962205563,169
3,0.5621844291687011,0.11456369255609233,0.0,0.0,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 5}",0.6947374530032142,0.6963284692993136,0.7001345553936057,0.6911198037013405,0.6971941722337619,0.6959028907262472,0.002966198829632697,152
4,0.467914342880249,0.07803253301910498,0.0011021614074707032,0.0022043228149414063,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 6}",0.7918025388747807,0.7935570856208958,0.8035993251804056,0.797517136038395,0.7999497783534324,0.7972851728135819,0.004265685378817748,126
5,0.58169584274292,0.13863999974719196,0.009858179092407226,0.00596295600010517,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 7}",0.79327627186323,0.7958170298608781,0.8899560980297604,0.7809720340760924,0.8865086859928769,0.8293060239645677,0.04838678821401223,104
6,0.6442235946655274,0.1005558117850876,0.003926372528076172,0.0060518533929148546,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 8}",0.8752647781799381,0.8803892083284053,0.7934986043739911,0.7984327517292522,0.8781330123312875,0.8451436709885748,0.040216783876159796,80
7,0.7155073165893555,0.09217915396513934,0.0,0.0,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 9}",0.8343179920352662,0.8789778392360303,0.866816869798311,0.8718054561354706,0.8787664538605526,0.8661369222131261,0.016549520493557207,57
8,0.842932653427124,0.08659930865330359,0.004620552062988281,0.005778998069311431,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 10}",0.8520953001371904,0.8767716152274806,0.8556421572703506,0.8665250849586482,0.8846550169114288,0.8671378349010197,0.012316373717661052,54
9,1.415970802307129,0.25707185083291945,0.006249284744262696,0.007653779470480148,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 15}",0.8808048862792975,0.8684513230931779,0.9012622415696938,0.8810257984275055,0.8531683935701853,0.876942528587972,0.015876708762399657,3
10,1.3326119422912597,0.07340887929012874,0.007852268218994141,0.009945461825349266,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 20}",0.8636157152391741,0.8722816229596789,0.884209410356449,0.865273448306176,0.8698052931354187,0.8710370979993793,0.007278359407054977,24
11,0.40244216918945314,0.09930549195091264,0.0040432453155517575,0.006057562230932243,0.1,"(32,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 2}",0.2867981574181035,0.2792569134933667,0.2831918297034576,0.28420256991685566,0.2819349962207105,0.2830768933504988,0.0024909572265310455,216
12,0.5826737403869628,0.20776801541014545,0.009657144546508789,0.007902021721321822,0.1,"(32,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 3}",0.4370697227840085,0.4358073889807193,0.44090245917488446,0.4303819719102111,0.43343023255813956,0.43551835508159253,0.003527649273568697,193
13,0.6313604354858399,0.1879216727843612,0.006248950958251953,0.0076533706376966356,0.1,"(32,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 4}",0.5558614332847789,0.5269499913345141,0.5928753119353417,0.5583529839639536,0.5564675589211608,0.5581014558879499,0.020915952740253117,176
14,0.552470350265503,0.10626984455307045,0.0,0.0,0.1,"(32,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 5}",0.6956363110449294,0.6893448037400667,0.6978197212924844,0.6968714648309087,0.6913386905061871,0.6942021982829152,0.003288224279925204,159
15,0.47947893142700193,0.05681798972621062,0.0031247615814208986,0.006249523162841797,0.1,"(32,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 6}",0.7918025388747807,0.7935570856208958,0.8035993251804056,0.797517136038395,0.8003614704077756,0.7973675112244505,0.004319952427766208,121
