iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.118277694577,0.118221675581,0.750953913534,0.754234473597,0.748188495
10,0.0942482895627,0.0935478043276,0.750953913534,0.754234473597,8.606053766
20,0.0939610824092,0.093270961798,0.751252529945,0.754832281634,16.672200435
30,0.103423047589,0.103069068373,0.750953913534,0.754234473597,24.623900059
40,0.094677200604,0.0939548213099,0.750953913534,0.754234473597,32.451838563
50,0.0945320047659,0.093501386572,0.750953913534,0.754234473597,40.423757035
60,0.0935673018053,0.0926283530161,0.750953913534,0.754234473597,48.424313889
70,0.0949255308704,0.0938852253405,0.750953913534,0.754234473597,56.081536902
80,0.0934499280383,0.0925987609193,0.750953913534,0.754234473597,63.462931872
90,0.0931442183139,0.0922916674227,0.750953913534,0.754234473597,70.935374013
100,0.0947622687695,0.0940260418227,0.750953913534,0.754234473597,78.196785497
110,0.102769172609,0.102393249995,0.750953913534,0.754234473597,85.389375808
120,0.0991948553897,0.0987156264807,0.750953913534,0.754234473597,92.413503935
130,0.101162350561,0.100643397107,0.750953913534,0.754234473597,99.387026963
140,0.0934111080601,0.092619882338,0.750953913534,0.754234473597,106.58980328
150,0.0934111080601,0.0926198823372,0.750953913534,0.754234473597,113.859500099
160,0.0934111146338,0.0926198850874,0.750953913534,0.754234473597,122.065048282
170,0.0934111080661,0.0926198825035,0.750953913534,0.754234473597,130.037483856
180,0.0934111080601,0.0926198823372,0.750953913534,0.754234473597,138.290523941
190,0.0935870352508,0.0926344057191,0.750953913534,0.754234473597,146.065946466
200,0.0969515595292,0.0957797111758,0.750953913534,0.754234473597,154.076048961
210,0.094656277087,0.0936121040419,0.750953913534,0.754234473597,162.340676118
220,0.093233881178,0.092390605459,0.750953913534,0.754234473597,170.16005396
230,0.0941888133578,0.0931777418634,0.750953913534,0.754234473597,177.285628226
240,0.0956668442027,0.0945662294572,0.750953913534,0.754234473597,185.234548687
250,0.0932478709559,0.0923469771243,0.750953913534,0.754234473597,193.088608975
