k,Dry Beans Data sse (left)
2,7.172545246597151
3,6.5585184061028965
4,6.001922474531348
5,5.4736945028291855
6,5.048024990289026
7,4.636022482290501
8,4.3004833200624155
9,4.0380517476305045
10,3.7780947408153973
15,3.063278356901615
20,2.677168025224355
