k,Dry Beans Data BIC
2,-521890.2811950696
3,-552921.9446805662
4,-572070.941297342
5,-584894.4733807559
6,-590485.6615611312
7,-591990.0086899301
8,-603482.6174124305
9,-605420.9601763275
10,-607050.4607025995
15,-614352.5484674916
20,-616265.5759761094
