k,Kmeans,GMM
2,0.39247150569886025,0.3942711457708458
3,0.41781643671265745,0.46835632873425315
4,0.5380923815236952,0.5718356328734253
5,0.6522195560887822,0.6832633473305338
6,0.7078584283143371,0.7549490101979605
7,0.7775944811037793,0.7476004799040192
8,0.7888422315536893,0.8627774445110978
9,0.7844931013797241,0.8749250149970006
10,0.7771445710857828,0.8599280143971205
15,0.7760947810437913,0.8606778644271146
20,0.8006898620275945,0.8762747450509898
