iterations,fitness,time
0,1711.47033649,9.26259999972e-05
10,2115.32228301,0.000146961999995
20,2386.95088112,0.000237400999993
30,2542.23609482,0.000319086999994
40,2739.28036327,0.00035518899999
50,2739.28036327,0.000398219999994
60,2831.78777449,0.000424476999996
70,2895.52800324,0.000450003999994
80,2895.52800324,0.000474071999996
90,2895.52800324,0.000499598999994
100,2895.52800324,0.000530595999997
110,2895.52800324,0.000556488000001
120,2895.52800324,0.000611918000004
130,2895.52800324,0.000633798000003
140,2895.52800324,0.000660784000004
150,2895.52800324,0.000683759000005
160,2895.52800324,0.000707827000006
170,2895.52800324,0.000734812000005
180,2895.52800324,0.000757057000008
190,2895.52800324,0.000781126000007
200,2895.52800324,0.000804465000009
210,2895.52800324,0.000831086000005
220,2895.52800324,0.000853696000007
230,2895.52800324,0.000898916000004
240,2895.52800324,0.000922255000006
250,2895.52800324,0.00096382800001
260,2895.52800324,0.00101087000001
270,2895.52800324,0.00102946800001
280,2895.52800324,0.001051348
290,2895.52800324,0.00107359300001
300,2895.52800324,0.00109547300001
310,2895.52800324,0.001114072
320,2895.52800324,0.001135222
330,2895.52800324,0.001158196
340,2895.52800324,0.001178618
350,2895.52800324,0.001199404
360,2895.52800324,0.001217273
370,2895.52800324,0.001261763
380,2895.52800324,0.001285831
390,2895.52800324,0.001332873
400,2895.52800324,0.001358035
410,2895.52800324,0.001386844
420,2895.52800324,0.001410548
430,2895.52800324,0.001445921
440,2895.52800324,0.001474001
450,2895.52800324,0.00150572699999
460,2895.52800324,0.001529795
470,2895.52800324,0.00155751
480,2895.52800324,0.001584861
490,2895.52800324,0.001612941
500,2895.52800324,0.001641021
510,2895.52800324,0.00166837099999
520,2895.52800324,0.001696816
530,2895.52800324,0.001724531
540,2895.52800324,0.001748964
550,2895.52800324,0.00177522000001
560,2895.52800324,0.00180293500001
570,2895.52800324,0.001829921
580,2895.52800324,0.00185399
590,2895.52800324,0.001911243
600,2895.52800324,0.001938958
610,2895.52800324,0.00196485000001
620,2895.52800324,0.00199001200001
630,2895.52800324,0.00201772700001
640,2895.52800324,0.00204143100001
650,2895.52800324,0.00206878100001
660,2895.52800324,0.00213442100002
670,2895.52800324,0.00216213600001
680,2895.52800324,0.00218656900001
690,2895.52800324,0.00221246100001
700,2895.52800324,0.00226205600001
710,2895.52800324,0.00230618100001
720,2895.52800324,0.00233316600001
730,2895.52800324,0.00237583200001
740,2895.52800324,0.00240026500001
750,2895.52800324,0.00242396900001
760,2895.52800324,0.002446214
770,2895.52800324,0.002469553
780,2895.52800324,0.002495445
790,2895.52800324,0.002518419
800,2895.52800324,0.00254212199999
810,2895.52800324,0.00257093099999
820,2895.52800324,0.002595
830,2895.52800324,0.002619069
840,2895.52800324,0.002644596
850,2895.52800324,0.00266574699999
860,2895.52800324,0.00269017999999
870,2895.52800324,0.00271497699999
880,2895.52800324,0.002743786
890,2895.52800324,0.002768584
900,2895.52800324,0.002829119
910,2895.52800324,0.00285282200001
920,2895.52800324,0.00289257100001
930,2895.52800324,0.00291664000001
940,2895.52800324,0.00294034400001
950,2895.52800324,0.00296441200001
960,2895.52800324,0.00298702200001
970,2895.52800324,0.00301182000001
980,2895.52800324,0.00303442900002
990,2895.52800324,0.00305594400002
1000,2895.52800324,0.00308329400002
1010,2895.52800324,0.00310699800002
