iterations,fitness,time
0,2965.86215449,0.002706592
10,3231.63885787,0.0036128
20,3257.92542391,0.004860706
30,3360.99109755,0.006265421
40,3536.05282945,0.00691563
50,3508.45260262,0.007541771
60,3454.56360602,0.008128163
70,3397.07631305,0.008799524
80,3413.96715232,0.00939248
90,3534.82612235,0.010045971
100,3363.01028594,0.01071879
110,3463.55792491,0.011354048
120,3438.70182458,0.011828121
130,3483.69897732,0.012306934
140,3634.36910441,0.012829508
150,3532.32344957,0.013392196
160,3434.39615912,0.01394832
170,3534.58505935,0.014518302
180,3451.49827046,0.015075885
190,3573.5082989,0.015812157
200,3563.6060634,0.016311028
210,3505.35835001,0.016889762
220,3528.23671676,0.017381339
230,3534.46229623,0.018077132
240,3664.57203627,0.018767455
250,3676.81082651,0.019504821
260,3535.55766363,0.020121481
270,3732.93641823,0.020636762
280,3698.47183404,0.0211659
290,3751.84823024,0.02180991
300,3596.93926081,0.022316074
310,3755.35228157,0.022835366
320,3607.43700733,0.023325849
330,3613.16189042,0.024071967
340,3603.88729275,0.024627362
350,3678.06733205,0.025149207
360,3672.84307705,0.025705696
370,3676.24082581,0.02619545
380,3500.29575196,0.026772361
390,3590.27544031,0.027316451
400,3576.75271316,0.027864552
410,3584.17515427,0.028357952
420,3606.90768678,0.02894799
430,3568.06872909,0.029441026
440,3599.62160514,0.029972717
450,3628.0156279,0.030479245
460,3596.86691678,0.031213694
470,3679.11894951,0.03169579
480,3657.05303081,0.032184815
490,3676.91537237,0.033010796
500,3604.66533533,0.033648971
510,3621.85951289,0.034220412
520,3533.74406315,0.034901254
530,3573.7142586,0.035810016
540,3620.57630286,0.036347907
550,3557.0956747,0.036814686
560,3539.76470845,0.037734023
570,3577.1027744,0.03815996
580,3457.68622966,0.038778078
590,3467.33104088,0.03928643
600,3484.6003184,0.039756492
610,3540.69654094,0.04028016
620,3525.20076399,0.040725059
630,3477.71646795,0.041336613
640,3524.80684959,0.041826002
650,3538.5159317,0.042489704
660,3578.90911283,0.043029782
670,3419.25463723,0.043484892
680,3412.88335485,0.044383807
690,3590.28890227,0.044865173
700,3521.62300785,0.045553673
710,3555.03708804,0.045988726
720,3492.97022699,0.046514582
730,3309.06330244,0.047003971
740,3351.88877838,0.047503206
750,3395.43971631,0.048079751
760,3351.95498303,0.048550906
770,3434.59997043,0.048988512
780,3407.91678883,0.049520567
790,3483.39365137,0.049968748
800,3542.3512676,0.050392496
810,3459.57533204,0.050819162
820,3507.41432685,0.051248015
830,3544.8559663,0.051723911
840,3408.11752896,0.074733953
850,3616.01173645,0.075350612
860,3576.13639896,0.075768526
870,3630.35909685,0.076254633
880,3604.58471903,0.076703909
890,3543.13458615,0.077125104
900,3603.79500567,0.077565262
910,3569.79352389,0.078035324
920,3444.71130112,0.078483505
930,3553.20343221,0.078979093
940,3464.13993283,0.079591377
950,3538.52986885,0.080032265
960,3531.13807668,0.08048774
970,3462.44527026,0.081313721
980,3600.58737481,0.081790711
990,3553.8695735,0.082224305
1000,3458.53913599,0.082657899
1010,3607.32909282,0.08312322
1020,3531.94323366,0.083622456
1030,3426.15592724,0.084083766
1040,3401.77059216,0.084527935
1050,3419.82331083,0.084992526
1060,3417.04327823,0.085457847
