iterations,fitness,time
0,2888.21070478,0.000181971999993
10,2968.35062874,0.000401868999987
20,3285.43982153,0.000610096999978
30,3278.65342953,0.000914962999971
40,3303.24347736,0.00113704799998
50,3333.7745006,0.00134636999996
60,3334.62534065,0.00155897399996
70,3410.65140254,0.00184414699996
80,3331.70689595,0.00206404399995
90,3435.85618152,0.00228357599994
100,3340.71984435,0.00249727399995
110,3396.59215474,0.00274050999994
120,3396.59215474,0.00294290299993
130,3467.58558244,0.00313909699993
140,3567.14506038,0.00334477199992
150,3516.2226277,0.00358253799992
160,3476.95239385,0.00379951699992
170,3476.95239385,0.00401321399993
180,3515.40457398,0.00422982899993
190,3533.24454278,0.00445665499991
200,3570.65126634,0.00467509399992
210,3597.32748246,0.00489353299992
220,3647.1335288,0.00522246599992
230,3578.45332174,0.00545366699993
240,3596.50613227,0.00571550099993
250,3616.09418934,0.00591825899993
260,3604.64809909,0.00613633199993
270,3590.98707619,0.00635258299994
280,3567.90533159,0.00657065699994
290,3589.21941669,0.00679018999995
300,3631.06190108,0.00700498099994
310,3627.06796033,0.00726243899993
320,3636.44493716,0.00748342999992
330,3658.49394396,0.00770551499993
340,3642.00800521,0.00793598699993
350,3605.78911132,0.00818870399992
360,3677.77076521,0.00838744999992
370,3600.3726738,0.00858728999991
380,3600.25165511,0.0087918709999
390,3657.26773805,0.00898733499989
400,3695.27150089,0.00919410399989
410,3695.27150089,0.00940524899988
420,3666.13626656,0.00960180699988
430,3668.35583506,0.00980164699988
440,3690.97272084,0.0100164379999
450,3668.35583506,0.0102899419999
460,3675.28720361,0.0105641749999
470,3679.07484956,0.0108409599999
480,3693.49378203,0.0110411639999
490,3629.90858866,0.0112654369999
500,3642.30258983,0.0115086729999
510,3626.77111684,0.0117307579999
520,3626.77111684,0.0119667009999
530,3597.24293973,0.0121811279999
540,3592.519286,0.0123948249999
550,3613.75630272,0.0126150869999
560,3564.4106534,0.0128306079999
570,3584.55347334,0.0130468579999
580,3584.55347334,0.0132853529999
590,3590.87650772,0.0135016029999
600,3486.16453878,0.0137211349999
610,3485.50227315,0.0139319159999
620,3471.97848885,0.0141386849999
630,3461.3242852,0.0143589469999
640,3486.8615565,0.0145726439999
650,3551.00997124,0.0147943649999
660,3502.77967689,0.0150365069999
670,3470.0700801,0.0152925069999
680,3470.0700801,0.0155120389999
690,3402.2316854,0.0157206319999
700,3474.73435831,0.0159587629999
710,3525.54605899,0.0161739189999
720,3519.19284662,0.0164156959999
730,3540.67814011,0.0166498149999
740,3581.3755735,0.0168562189999
750,3601.73323937,0.0170841389999
760,3601.87498601,0.0173332099999
770,3626.35468339,0.0175410719999
780,3626.35468339,0.0177584159999
790,3593.12117907,0.0179560679999
800,3592.28706717,0.0181511679999
810,3600.3078334,0.0183517369999
820,3548.18491724,0.0185552229999
830,3582.41129796,0.0187539689999
840,3618.85762195,0.0189662079999
850,3651.16859759,0.0191649539999
860,3681.93959929,0.0193855809999
870,3633.25361877,0.0195989139999
880,3583.55592762,0.0198078709999
890,3653.09631818,0.0200252149999
900,3633.17096811,0.0202502169999
910,3652.60733621,0.0204726659999
920,3649.15674406,0.0206849049999
930,3655.32572094,0.0209270469999
940,3649.22555126,0.0211476729999
950,3640.78432736,0.0213617349999
960,3699.94689066,0.0215962179999
970,3688.69850991,0.0218172089999
980,3638.57985301,0.0220305419999
990,3626.82012521,0.0222526269999
1000,3660.54769433,0.0224725239999
1010,3609.12174063,0.0227026319999
1020,3615.69218023,0.0229921819999
1030,3601.18821305,0.0231880099999
1040,3643.64885369,0.0234071769999
1050,3648.23378804,0.0236223329999
1060,3633.5444555,0.0238466059999
1070,3642.20222845,0.0240544689999
1080,3632.0833648,0.0242761889999
1090,3697.83261841,0.0244935329999
1100,3611.6489152,0.0247065019999
1110,3600.77909619,0.0249318689999
1120,3707.46919893,0.0251495779999
1130,3620.1799685,0.0253658279999
1140,3617.7236868,0.0255955719999
1150,3664.70206915,0.0258129159999
1160,3652.45932288,0.0260266129999
1170,3653.55920818,0.0263183499999
1180,3637.9806034,0.0265375179999
1190,3656.46987622,0.0267530389999
1200,3616.07503663,0.0270024749999
1210,3669.43782802,0.0272227369999
1220,3627.05658793,0.0274499269999
1230,3713.99382614,0.0277070199999
1240,3715.19405429,0.0279280109999
1250,3659.19738057,0.0281438969999
1260,3628.03643946,0.0283998969999
1270,3732.52670769,0.0286186999999
1280,3668.08993256,0.0288313029999
1290,3633.14488953,0.0291219459999
1300,3648.99766334,0.0293411139999
1310,3677.46667086,0.0295504349999
1320,3711.05321677,0.0298155509999
1330,3695.48526729,0.0300361769999
1340,3727.56334871,0.0302487799999
1350,3730.10114769,0.0304785239999
1360,3730.10114769,0.0306798229999
1370,3806.04050106,0.0308811219999
1380,3743.16276173,0.0310827849999
1390,3745.02138222,0.0312840839999
1400,3734.5279262,0.0314824649999
1410,3781.30397053,0.0316863159999
1420,3757.02549882,0.0318941779999
1430,3753.20005703,0.0321042289999
1440,3688.27814356,0.0323212079999
1450,3721.55805219,0.0325298009999
1460,3738.95004183,0.0327329229999
1470,3752.17786592,0.0329393269999
1480,3735.59501662,0.0331431779999
1490,3727.27484275,0.0333401009999
1500,3726.86492363,0.0335519749999
1510,3768.87492524,0.0337711419999
1520,3697.06351172,0.0340709019999
1530,3731.33996576,0.0343170559999
1540,3744.05146069,0.0345322119999
1550,3738.85807566,0.0347466389999
1560,3754.53484905,0.0349570549999
1570,3747.34782024,0.0351875279999
1580,3763.88111915,0.0354019549999
1590,3741.36318062,0.0356160169999
1600,3756.61472303,0.0358370079999
1610,3680.54427179,0.0360641979999
1620,3684.6093948,0.0362789889999
1630,3680.54427179,0.036587136
1640,3680.54427179,0.0367862459999
1650,3675.40986342,0.0370736069999
1660,3672.78303092,0.0372763649999
1670,3672.78303092,0.0374977199999
1680,3677.97641595,0.0410204469999
1690,3589.20264678,0.0412366969999
1700,3575.41831237,0.0414379949999
1710,3533.15434975,0.0416389289999
1720,3518.4067027,0.041839863
1730,3570.06108021,0.0420473609999
1740,3560.99712828,0.0422479299999
1750,3622.0692794,0.0424499579999
1760,3622.0692794,0.0426559979999
1770,3516.89066438,0.0428613079999
1780,3532.28330601,0.0430706299999
1790,3521.96410889,0.0432810459999
1800,3519.00824347,0.0434830739999
1810,3486.70516757,0.0436851019999
1820,3548.16426276,0.0438995279999
1830,3490.40386261,0.0441186959999
1840,3504.4064446,0.0443367689999
1850,3493.46421398,0.0445566659999
1860,3519.74147728,0.0448454859999
1870,3526.32778251,0.0450653829999
1880,3596.73053878,0.0452907499999
1890,3504.68601273,0.0454946009999
1900,3546.34276061,0.0457403899999
1910,3499.18624223,0.0459442409999
1920,3531.0563566,0.0461429869999
1930,3575.89610639,0.0463461089999
1940,3499.59600031,0.0466290939999
1950,3523.83062689,0.0468333099999
1960,3502.43021106,0.0470367959999
1970,3569.32083931,0.0472391879999
1980,3498.04411949,0.0474434039999
1990,3523.64845917,0.0476395969999
2000,3551.81819637,0.0478416249999
2010,3628.47487129,0.0480560509999
2020,3616.09161506,0.0482712069999
2030,3571.58680184,0.0486088929999
2040,3567.56901926,0.0488273319999
2050,3531.85941989,0.0490454059999
2060,3553.42996697,0.0492591039999
2070,3553.42996697,0.0494684259999
2080,3491.00921976,0.0496864989999
2090,3410.57364073,0.0499005609999
2100,3379.28279766,0.0501379619999
2110,3395.35806092,0.0503534829999
2120,3415.28263354,0.0505719219999
2130,3489.54242615,0.0508607419999
2140,3489.54242615,0.0511145529999
2150,3483.93722532,0.0513322619999
2160,3495.47128434,0.0515623699999
2170,3507.57846122,0.0518001359999
2180,3561.1123155,0.0520090919999
2190,3561.1123155,0.0522235189999
2200,3548.18086985,0.0524390399999
2210,3567.34682205,0.0526910279999
2220,3546.60810876,0.0529105599999
2230,3555.77420653,0.0531260809999
2240,3587.41769744,0.0533251909999
2250,3640.77163996,0.0535224779999
2260,3640.77163996,0.0537255999999
2270,3606.94951481,0.0539506019999
2280,3609.25106084,0.0541504419999
2290,3621.65591974,0.0543524699999
2300,3641.24397681,0.0545563219999
2310,3672.31297378,0.0547536099999
2320,3642.24194599,0.0549957519999
2330,3642.24194599,0.0551948629999
2340,3694.58389866,0.0553906919999
2350,3625.5047504,0.0555923549999
2360,3645.42932302,0.0557892779999
2370,3635.51529658,0.0559923999999
2380,3683.38048107,0.0562618919999
2390,3686.49930371,0.0564715779999
2400,3746.87878428,0.0566874629999
2410,3686.88352146,0.0569091839999
2420,3689.534398,0.0571345509999
2430,3685.6097078,0.057348978
2440,3685.6097078,0.0575699689999
2450,3685.99843842,0.0577913249999
2460,3673.71981673,0.0580010109999
2470,3722.1588494,0.0582176249999
2480,3720.02284311,0.0584156409999
2490,3699.26295612,0.0586151169999
2500,3714.11789746,0.0588182389999
2510,3693.78262217,0.0590173499999
2520,3638.90149324,0.0592627729999
2530,3719.53192843,0.0594808469999
2540,3638.54945737,0.0596996499999
2550,3628.37810207,0.0599253819999
2560,3661.49819179,0.0601357979999
2570,3668.43455536,0.0603772109999
2580,3672.56249961,0.0605916379999
2590,3743.36660766,0.0608304979999
2600,3702.96714294,0.0610379959999
2610,3661.17432686,0.0612527879999
2620,3684.85861784,0.0614949299999
2630,3661.17432686,0.0617078979999
2640,3602.60921252,0.0619230539999
2650,3618.78833015,0.0621484209999
2660,3663.3140261,0.0623945749999
2670,3688.82363156,0.0626159309999
2680,3635.09314827,0.0628234289999
2690,3719.22070925,0.0630345739999
2700,3720.57575025,0.0632522829999
2710,3765.28619789,0.0635556889999
2720,3693.9829529,0.0637748569999
2730,3754.58049186,0.0639969419999
2740,3720.65529964,0.0642168389999
2750,3683.09676459,0.0644370999999
2760,3695.11726016,0.0646500679999
2770,3655.45352071,0.0648721529999
2780,3683.76368776,0.0650873089999
2790,3677.04319856,0.0653305449999
2800,3698.54024407,0.0655435139999
2810,3698.54024407,0.0657535649999
2820,3735.00953712,0.0659836729999
2830,3622.35547947,0.0661984639999
2840,3652.04540075,0.0664143499999
2850,3663.51084879,0.0666400819999
2860,3616.15597939,0.0668647189999
2870,3656.00394239,0.0670970149999
2880,3638.19990013,0.0673263929999
2890,3650.01556223,0.0675386319999
2900,3659.6778171,0.0677731159999
2910,3673.69068096,0.0680830869999
2920,3663.65420075,0.0683529439999
2930,3687.53325744,0.0686180599999
2940,3669.58176342,0.0688193579999
2950,3672.11214432,0.0690232089999
2960,3677.8076964,0.0693229689999
2970,3653.85390625,0.0695476069999
2980,3677.55576251,0.0697985009999
2990,3691.56532211,0.0701660899999
3000,3728.52769971,0.0703874449999
3010,3728.52769971,0.0706456319999
3020,3713.85594751,0.0709202299999
3030,3713.85594751,0.0713137109999
3040,3728.17866666,0.0715299619999
3050,3697.20855641,0.0718475909999
3060,3696.02140041,0.0722005929999
3070,3704.84286483,0.0724748259999
3080,3743.71560104,0.0728865399999
3090,3699.56020175,0.0731374339999
3100,3726.66695404,0.0733722819999
3110,3747.46105968,0.0736906399999
3120,3733.27039822,0.0738985019999
3130,3776.93256435,0.0740997999999
3140,3726.79183097,0.0743003689999
3150,3679.63365412,0.0745563689999
3160,3724.1773615,0.0748306019999
3170,3757.63496689,0.0751084819999
3180,3762.15252326,0.0753094159999
3190,3803.5607666,0.0755121729999
3200,3808.41586262,0.0757933349999
3210,3808.41586262,0.0759968219999
3220,3730.6648254,0.0762582909999
3230,3762.04668869,0.0764595899999
3240,3746.30893791,0.0767163189999
3250,3725.47982292,0.0769737769999
3260,3695.30504279,0.0772410809999
3270,3703.80080231,0.0774496729999
3280,3725.2639807,0.0777319279999
3290,3655.79634557,0.0779923029999
3300,3722.58473657,0.0782949809999
3310,3695.45910699,0.0786031279999
3320,3695.45910699,0.0789050759999
3330,3700.98842376,0.0791107509999
3340,3677.63337977,0.0793696679999
3350,3716.40953688,0.0796005059999
3360,3638.91986545,0.0798535879999
3370,3698.08557277,0.0800793199999
3380,3739.74251882,0.0802839009999
3390,3713.85147789,0.0805074439999
3400,3750.03353735,0.0808174149999
3410,3734.2049003,0.0810227249999
3420,3717.43742501,0.0812666899999
3430,3713.85147789,0.0815029969999
3440,3664.26540372,0.0817090359999
3450,3699.86694258,0.0819212739999
3460,3690.50383571,0.0821404419999
3470,3657.23220157,0.0823617969999
3480,3723.7761658,0.0825827879999
3490,3636.77277814,0.0828077899999
3500,3666.7067592,0.0830240409999
3510,3657.35891582,0.0832246099999
3520,3691.96881054,0.0834434129999
3530,3595.24895965,0.0836527339999
3540,3588.23424631,0.0839211319999
3550,3662.45437178,0.0841271709999
3560,3588.23424631,0.084329564
3570,3635.06298889,0.0846132779999
3580,3581.57977045,0.0848226
3590,3684.13540839,0.085047967
3600,3720.01252008,0.0853189179999
3610,3649.07370389,0.0855636129999
3620,3631.25503739,0.0858192479999
3630,3616.17109434,0.0860249229999
3640,3612.32282947,0.0862240329999
3650,3618.40279937,0.0864435649999
3660,3618.40279937,0.0866426749999
3670,3630.23812256,0.0868767939999
3680,3630.29719469,0.0870955969999
3690,3612.57258359,0.0873242459999
3700,3650.0886097,0.0877301249999
3710,3617.67054632,0.0879853949999
3720,3610.15284145,0.088313965
3730,3638.27686919,0.088598044
3740,3660.55315239,0.0888157529999
3750,3594.0415078,0.0890491429999
3760,3550.92513244,0.0892993069999
3770,3549.26312803,0.089546919
3780,3589.77991123,0.089812035
3790,3568.18682742,0.090030109
3800,3638.73930599,0.090355761
3810,3640.3917315,0.090581128
3820,3624.62926403,0.090799931
3830,3599.38238249,0.091016546
3840,3584.29917111,0.091240089
3850,3512.7940873,0.091451963
3860,3487.75854129,0.091915096
3870,3536.85045888,0.092117124
3880,3520.65043765,0.092318423
3890,3545.12245927,0.092594479
3900,3605.69502414,0.092796507
3910,3553.02593033,0.093057976
3920,3545.29008918,0.093296836
3930,3526.03845306,0.093504699
3940,3559.1492043,0.093724596
3950,3481.03022423,0.093925165
3960,3486.81733012,0.094137039
3970,3500.54929022,0.094355478
3980,3454.2250474,0.094561882
3990,3471.43557446,0.094779956
4000,3543.79757953,0.094989642
4010,3531.04230878,0.095204434
4020,3590.81602665,0.095513311
4030,3594.37448184,0.095930131
4040,3622.03518837,0.096135805
4050,3622.07136318,0.096335645
4060,3594.36964742,0.096672966
4070,3519.73395983,0.096876818
4080,3536.08582951,0.097159803
4090,3495.5720623,0.097365843
4100,3553.21590884,0.097563859
4110,3491.9726145,0.097869089
4120,3488.98104091,0.098196564
4130,3492.93530322,0.098396769
4140,3505.69430795,0.098644381
4150,3499.79655471,0.09901817
4160,3546.62396691,0.101961433
4170,3520.59740537,0.102174401
4180,3515.03303835,0.102444258
4190,3468.67816331,0.102690776
4200,3538.03066681,0.102895356
4210,3613.41926303,0.103270238
4220,3595.74156458,0.103472996
4230,3615.32962165,0.103805577
4240,3502.69594601,0.104130864
4250,3518.759169,0.104337268
4260,3507.07493634,0.104585245
4270,3537.89978763,0.104809883
4280,3523.29298763,0.105012641
4290,3611.71784223,0.10529125
4300,3535.5366033,0.105507865
4310,3535.5366033,0.105731409
4320,3555.79769148,0.105996526
4330,3595.64683673,0.106222258
4340,3570.74767522,0.106427933
4350,3540.77200702,0.106650383
4360,3525.5832652,0.106927168
4370,3563.62287297,0.107184991
4380,3550.65126177,0.107576649
4390,3516.8246882,0.10780311
4400,3437.00930524,0.108021913
4410,3476.69769286,0.108281194
4420,3478.86198919,0.108503279
4430,3511.62145738,0.108724634
4440,3516.65256906,0.108953283
4450,3421.65055086,0.10932233
4460,3410.60520413,0.109528734
4470,3378.59457055,0.109762489
4480,3480.81559865,0.109984574
4490,3418.52860663,0.110207388
4500,3470.4194462,0.110493656
4510,3426.25388234,0.11071647
4520,3468.98149046,0.11093272
4530,3495.50091607,0.111302497
4540,3524.76008318,0.111517289
4550,3403.20615267,0.111733174
4560,3413.2289811,0.111956717
4570,3459.15283506,0.112183178
4580,3415.99000449,0.112394323
4590,3429.85075173,0.112602915
4600,3438.71624519,0.112837764
4610,3400.72282078,0.113056567
4620,3480.03956781,0.113267347
4630,3438.47104601,0.113494173
4640,3468.49743857,0.113722093
4650,3450.36083899,0.113928497
4660,3457.73705136,0.114177203
4670,3497.70093986,0.114419345
4680,3437.14137655,0.114630125
4690,3431.87339757,0.114831059
4700,3482.71889399,0.115039286
4710,3414.6748802,0.115277781
4720,3440.86246432,0.11550643
4730,3473.68588931,0.115805096
4740,3448.38029713,0.116100115
4750,3467.81666524,0.11630579
4760,3502.34791296,0.116631441
4770,3419.01975755,0.116835293
4780,3427.51186931,0.117049355
4790,3431.54661706,0.117314106
4800,3487.93517146,0.117531815
4810,3487.93517146,0.117779063
4820,3460.54374973,0.117978903
4830,3470.88510332,0.118188953
4840,3435.14708453,0.118532473
4850,3418.37701554,0.118768051
4860,3404.83478613,0.118975549
4870,3429.79530774,0.119293907
4880,3376.49046699,0.119501405
4890,3414.8835999,0.119704892
4900,3368.05152804,0.119924788
4910,3424.12845952,0.120135933
4920,3415.36357961,0.120337961
4930,3464.2654432,0.120649026
4940,3404.40989952,0.120911225
4950,3420.31996863,0.121113983
4960,3427.25006836,0.121329869
4970,3339.92235566,0.121547942
4980,3463.62441576,0.121789355
4990,3404.30375244,0.122062129
