iterations,fitness,time
0,3508.3172044,0.016893042
10,3766.86592251,0.033000947
20,3784.91868951,0.047757744
30,3869.94880503,0.061617814
40,3894.53400823,0.075735707
50,3874.96725348,0.088878832
60,3869.94880503,0.10239064
70,3895.21626207,0.114854018
80,3855.14196908,0.130019977
90,3895.21626207,0.141101979
100,3894.53400823,0.153833391
110,3863.99710035,0.165615927
120,3894.53400823,0.177467751
130,3862.52131679,0.18967367
140,3878.92442737,0.202764283
150,3895.21626207,0.215525962
160,3894.53400823,0.228706284
170,3864.60592061,0.241185708
180,3864.60592061,0.252014263
190,3900.7472245,0.264701184
200,3876.87595221,0.279359154
210,3860.29092885,0.290258092
220,3873.76952226,0.301376197
230,3853.00152186,0.311671968
240,3869.94880503,0.324017192
250,3879.60668121,0.33703487
260,3894.53400823,0.348096816
270,3894.53400823,0.358918442
280,3869.94880503,0.369253962
290,3895.21626207,0.380067566
300,3852.31146118,0.390471279
310,3894.53400823,0.400642696
320,3895.21626207,0.41128928
330,3860.29092885,0.421577392
340,3869.94880503,0.43178163
350,3893.17896723,0.441886677
360,3865.01573615,0.452042414
370,3895.21626207,0.461725901
380,3869.94880503,0.471634755
390,3895.21626207,0.48202461
400,3862.52131679,0.493776514
410,3894.53400823,0.5043436
420,3894.53400823,0.514575188
430,3855.14196908,0.524639757
440,3895.21626207,0.534713807
450,3894.53400823,0.545142318
460,3855.14196908,0.555934042
470,3863.83439878,0.566608707
480,3850.41242384,0.57755104
490,3895.21626207,0.588257431
500,3894.53400823,0.598667343
510,3894.53400823,0.608609747
520,3864.60592061,0.618875614
530,3895.21626207,0.62948719
540,3894.53400823,0.639851518
550,3894.53400823,0.65149949
560,3894.53400823,0.661437518
570,3864.60592061,0.674729065
580,3860.29092885,0.688600805
590,3895.21626207,0.700560207
600,3894.53400823,0.713192793
610,3864.60592061,0.725813709
620,3862.52131679,0.737913144
630,3869.94880503,0.749263544
640,3850.41242384,0.761226593
650,3879.79514895,0.773418655
660,3880.40942612,0.785651561
670,3862.52131679,0.797897959
680,3862.52131679,0.81005866
690,3864.60592061,0.823392874
700,3895.21626207,0.836044422
710,3883.86227535,0.848002
720,3844.68134799,0.860620364
730,3904.38035215,0.874635784
740,3869.94880503,0.885850162
750,3894.53400823,0.896907002
760,3864.60592061,0.908495168
770,3894.53400823,0.92191982
780,3869.94880503,0.934274162
790,3869.77375829,0.94624888
800,3895.21626207,0.958523358
810,3872.62804915,0.9698052
820,3894.53400823,0.98072383
830,3862.52131679,0.992403528
840,3895.21626207,1.00481877
850,3893.30590345,1.016245022
860,3844.68134799,1.027644288
870,3863.18410065,1.040691505
880,3895.21626207,1.053134826
890,3894.53400823,1.068201593
900,3860.29092885,1.078819733
910,3894.53400823,1.091210541
920,3894.53400823,1.104145804
930,3860.29092885,1.117264132
940,3894.53400823,1.129278964
950,3851.61271653,1.141253318
960,3862.52131679,1.152448004
970,3875.06654171,1.164396466
980,3844.68134799,1.176941531
990,3894.53400823,1.189655438
1000,3844.68134799,1.201778213
1010,3846.5917066,1.213564395
1020,3844.68134799,1.225158396
1030,3860.29092885,1.238026924
1040,3865.96096162,1.248545873
1050,3864.60592061,1.263824879
1060,3869.94880503,1.274064855
1070,3894.53400823,1.285841557
1080,3894.53400823,1.298144115
1090,3862.52131679,1.308491669
1100,3869.94880503,1.320370844
1110,3864.60592061,1.334142664
1120,3844.68134799,1.346767591
1130,3869.94880503,1.357307327
1140,3895.21626207,1.368445489
1150,3894.53400823,1.379882316
1160,3869.94880503,1.391542688
1170,3894.53400823,1.404004243
1180,3864.60592061,1.416643393
1190,3895.21626207,1.427770979
1200,3855.14196908,1.437277601
1210,3862.52131679,1.447337065
1220,3851.61271653,1.459393104
1230,3851.61271653,1.470024008
1240,3846.03638899,1.480453249
1250,3895.21626207,1.490429203
1260,3869.78872698,1.500789885
1270,3862.52131679,1.511652355
1280,3894.53400823,1.522172034
1290,3864.60592061,1.532833205
1300,3855.14196908,1.544386363
1310,3894.53400823,1.555736763
1320,3894.53400823,1.567540815
