k,Dry Beans Data log-likelihood
2,39.23628283277366
3,41.61469160260859
4,43.1020785616516
5,44.11515054368788
6,44.58590519646212
7,44.750208060725825
8,45.66348075055203
9,45.8603267788153
10,46.034014270963915
15,46.83905829540915
20,47.240003620373706
