k,Dry Beans Data BIC
2,-95052.98310183502
3,-114232.72460619592
4,-129772.47253819523
5,-140213.4182625908
6,-151867.3550185647
7,-156382.41882913353
8,-161477.92817723265
9,-164586.6109367879
10,-166563.50363878385
15,-178369.4916656939
20,-184686.46705050694
