iterations,fitness,time,fevals
0,27.0,0.000753776,644
10,35.0,0.001382834,1186
20,35.0,0.002007516,1732
30,35.0,0.002520974,2283
40,36.0,0.002978272,2826
50,35.0,0.003446145,3374
60,35.0,0.003969449,3923
70,37.0,0.004418359,4480
80,35.0,0.004884774,5030
90,35.0,0.00535593,5578
100,35.0,0.005802287,6126
110,35.0,0.006285477,6679
120,35.0,0.006755174,7224
130,35.0,0.007471754,7768
140,35.0,0.007979376,8318
150,35.0,0.008432298,8869
160,36.0,0.00893518,9418
170,36.0,0.009392478,9958
180,36.0,0.009997833,10502
190,38.0,0.010436533,11046
200,36.0,0.01105064,11604
210,36.0,0.011559721,12139
220,36.0,0.012046557,12689
230,38.0,0.012497655,13236
240,38.0,0.012968445,13785
250,38.0,0.01339584,14337
260,38.0,0.013869184,14886
270,38.0,0.014393582,15428
280,38.0,0.014790709,15979
290,38.0,0.01534975,16531
300,39.0,0.015749066,17084
310,39.0,0.01619433,17631
320,39.0,0.016606773,18179
330,39.0,0.01709288,18726
340,40.0,0.017498395,19271
350,40.0,0.017915215,19819
360,41.0,0.018481915,20361
370,41.0,0.018953435,20909
380,41.0,0.019437354,21457
390,41.0,0.019905957,21997
400,41.0,0.020892029,22547
410,41.0,0.021339845,23094
420,42.0,0.021804437,23645
430,41.0,0.022282522,24185
440,41.0,0.022766441,24743
450,41.0,0.023218269,25295
460,41.0,0.023643841,25849
470,41.0,0.024182825,26403
480,41.0,0.024624807,26945
490,41.0,0.025082834,27495
500,41.0,0.025500747,28040
510,41.0,0.025964244,28586
520,42.0,0.026435035,29128
530,42.0,0.026865347,29680
540,43.0,0.027487476,30227
550,42.0,0.027933469,30777
560,42.0,0.028341901,31319
570,42.0,0.028795188,31864
580,42.0,0.029258685,32414
590,42.0,0.029711607,32956
600,41.0,0.030165258,33499
610,41.0,0.030788846,34036
620,42.0,0.031194726,34583
630,43.0,0.031642907,35147
640,42.0,0.032108957,35694
650,42.0,0.032590688,36245
660,41.0,0.033019542,36795
670,41.0,0.033430527,37336
680,41.0,0.033981181,37887
690,41.0,0.03439873,38439
700,41.0,0.034877179,38987
710,41.0,0.035302386,39542
720,41.0,0.035725405,40085
730,42.0,0.036181973,40624
740,42.0,0.036614474,41173
750,42.0,0.037145801,41719
760,42.0,0.037630085,42271
770,42.0,0.038044352,42821
780,42.0,0.038492533,43367
790,42.0,0.038964782,43922
800,42.0,0.039428644,44461
810,42.0,0.039848016,45016
820,42.0,0.040456288,45560
830,42.0,0.040900822,46116
840,43.0,0.041355932,46664
850,43.0,0.041766188,47217
860,43.0,0.04217535,47765
870,43.0,0.042632648,48319
880,43.0,0.043031964,48871
890,43.0,0.04379121,49419
900,43.0,0.044240485,49971
910,43.0,0.044692313,50511
920,43.0,0.045135025,51067
930,44.0,0.045719228,51614
940,43.0,0.04615027,52161
950,43.0,0.046575477,52709
960,45.0,0.046993025,53254
970,44.0,0.047465274,53801
980,45.0,0.047896681,54347
990,44.0,0.048468851,54896
1000,44.0,0.049041385,55446
1010,46.0,0.049462581,55996
1020,44.0,0.049921338,56536
1030,45.0,0.05037426,57082
1040,45.0,0.050834111,57628
1050,46.0,0.054118343,58176
1060,44.0,0.054560325,58727
1070,44.0,0.054978968,59276
1080,44.0,0.055381565,59817
1090,46.0,0.055776504,60362
1100,44.0,0.056180925,60906
1110,44.0,0.056692923,61450
1120,44.0,0.057421171,61995
1130,46.0,0.057821581,62548
1140,44.0,0.058288725,63087
1150,44.0,0.05867163,63638
1160,44.0,0.059105954,64183
1170,46.0,0.059495788,64727
1180,46.0,0.060002317,65278
1190,46.0,0.060428983,65832
1200,46.0,0.060849813,66370
1210,46.0,0.061364364,66924
1220,46.0,0.061777537,67468
1230,46.0,0.062211496,68020
1240,46.0,0.062627221,68566
1250,46.0,0.063261749,69113
1260,46.0,0.063691332,69662
1270,46.0,0.06413769,70208
1280,46.0,0.064583318,70748
1290,46.0,0.064983728,71296
1300,46.0,0.06539763,71841
1310,46.0,0.065898688,72383
1320,46.0,0.066412146,72928
1330,47.0,0.066814379,73471
1340,47.0,0.067239951,74023
1350,47.0,0.067723141,74564
1360,47.0,0.068181169,75120
1370,47.0,0.06906258,75674
1380,47.0,0.06945679,76220
1390,48.0,0.069909712,76766
1400,48.0,0.070491728,77310
1410,48.0,0.070931887,77859
1420,48.0,0.071369493,78407
1430,49.0,0.071808192,78961
1440,50.0,0.072270231,79511
1450,48.0,0.072677569,80056
1460,48.0,0.073087095,80612
1470,50.0,0.073827013,81154
1480,50.0,0.07423508,81704
1490,51.0,0.074649712,82248
1500,50.0,0.075195625,82801
1510,51.0,0.075634325,83352
1520,50.0,0.076037651,83900
1530,55.0,0.07646067,84449
1540,55.0,0.07703284,84995
1550,56.0,0.077454765,85548
1560,56.0,0.078013441,86090
1570,56.0,0.07846381,86637
1580,56.0,0.078888288,87183
1590,55.0,0.079272287,87734
1600,55.0,0.079862325,88278
1610,55.0,0.080264558,88831
1620,55.0,0.080652933,89377
1630,56.0,0.081079963,89926
1640,55.0,0.08151684,90470
1650,56.0,0.081897921,91010
1660,56.0,0.082366524,91566
1670,56.0,0.082858466,92114
1680,56.0,0.083312117,92663
1690,56.0,0.083890121,93216
1700,56.0,0.084453174,93764
1710,56.0,0.084833892,94316
1720,56.0,0.085270404,94868
1730,56.0,0.085685765,95418
1740,57.0,0.086084716,95969
1750,57.0,0.086513205,96523
1760,56.0,0.086948987,97067
1770,56.0,0.087362525,97621
1780,56.0,0.087756005,98168
1790,58.0,0.088236642,98717
1800,56.0,0.088705245,99261
1810,56.0,0.089142122,99798
1820,56.0,0.089535967,100344
1830,56.0,0.090044683,100890
1840,56.0,0.090437434,101428
1850,59.0,0.0909312,101976
1860,56.0,0.091420953,102520
1870,56.0,0.09185163,103067
1880,56.0,0.092259697,103613
1890,56.0,0.092732676,104157
1900,56.0,0.093146214,104700
1910,56.0,0.093560116,105247
1920,56.0,0.093987147,105800
1930,56.0,0.094416001,106350
1940,56.0,0.094822245,106900
1950,59.0,0.095368523,107442
1960,59.0,0.095782425,107988
1970,59.0,0.096205079,108528
1980,59.0,0.09663758,109079
1990,59.0,0.097067892,109629
2000,59.0,0.097607241,110180
2010,60.0,0.098035365,110730
2020,59.0,0.098455832,111278
2030,59.0,0.09883509,111827
2040,59.0,0.099260662,112380
2050,59.0,0.099658519,112934
2060,59.0,0.10010123,113485
2070,59.0,0.100518049,114028
2080,61.0,0.100921376,114578
2090,59.0,0.101314492,115132
2100,59.0,0.101685727,115681
2110,59.0,0.102063891,116225
2120,61.0,0.102479617,116765
2130,60.0,0.102894978,117313
2140,60.0,0.103316173,117860
2150,60.0,0.103688868,118403
2160,60.0,0.104133402,118949
2170,61.0,0.1045298,119490
2180,60.0,0.105174904,120040
2190,62.0,0.105631838,120587
2200,60.0,0.1061019,121132
2210,60.0,0.106498298,121682
2220,60.0,0.106972006,122232
2230,60.0,0.10743368,122779
2240,60.0,0.10781622,123332
2250,60.0,0.108257837,123880
2260,60.0,0.108663716,124432
2270,60.0,0.109093664,124985
2280,60.0,0.109496262,125528
2290,60.0,0.10992074,126077
2300,62.0,0.110473217,126621
2310,62.0,0.110899153,127161
2320,62.0,0.111332747,127706
2330,62.0,0.111735709,128246
2340,61.0,0.112125178,128795
2350,61.0,0.112942042,129333
2360,60.0,0.116916962,129884
2370,60.0,0.11750226,130430
2380,60.0,0.117911057,130978
2390,60.0,0.118292868,131523
2400,62.0,0.118722087,132078
2410,62.0,0.119106086,132628
2420,60.0,0.119480968,133173
2430,62.0,0.119864967,133730
2440,62.0,0.120274493,134274
2450,60.0,0.120666151,134827
2460,60.0,0.121059632,135368
2470,60.0,0.121457853,135909
2480,60.0,0.121850969,136461
2490,60.0,0.122535092,137010
2500,60.0,0.12298145,137550
2510,60.0,0.123373837,138097
2520,60.0,0.123797585,138643
2530,60.0,0.124268011,139188
2540,62.0,0.124718745,139733
2550,60.0,0.125113684,140279
2560,62.0,0.125699711,140824
2570,60.0,0.126139141,141367
2580,60.0,0.126762,141909
2590,60.0,0.127149646,142461
2600,62.0,0.127680243,143005
2610,60.0,0.128088675,143548
2620,60.0,0.12861599,144099
2630,60.0,0.129013117,144649
2640,62.0,0.129609355,145198
2650,62.0,0.130059359,145741
2660,60.0,0.13067383,146283
2670,60.0,0.131126023,146838
2680,60.0,0.131788996,147384
2690,60.0,0.132233166,147928
2700,60.0,0.132738601,148475
2710,60.0,0.133194805,149019
2720,60.0,0.133597402,149566
2730,62.0,0.134050689,150121
2740,61.0,0.134455839,150670
2750,62.0,0.134858801,151218
2760,61.0,0.135268327,151775
2770,61.0,0.135719061,152324
