iterations,fitness,time,fevals
0,22.0,0.000648751,554
10,20.0,0.001244624,1009
20,20.0,0.001741672,1458
30,27.0,0.00225367100001,1913
40,32.0,0.002726285,2363
50,38.0,0.003205828,2825
60,38.0,0.003620095,3276
70,41.0,0.004311512,3742
80,40.0,0.004818405,4191
90,41.0,0.005294666,4626
100,40.0,0.00583255700001,5077
110,41.0,0.006277821,5532
120,41.0,0.00685983700001,5995
130,44.0,0.00732406400001,6449
140,43.0,0.00790863200001,6917
150,42.0,0.00834769600001,7358
160,47.0,0.008893974,7816
170,49.0,0.009306782,8270
180,49.0,0.009726884,8729
190,50.0,0.010146256,9183
200,50.0,0.010560888,9637
210,50.0,0.010957285,10087
220,50.0,0.011956485,10533
230,50.0,0.012405031,11002
240,50.0,0.01281638,11452
250,49.0,0.013557757,11911
260,49.0,0.014011043,12373
270,51.0,0.014520489,12834
280,51.0,0.014941685,13277
290,51.0,0.01539643,13732
300,52.0,0.015848987,14193
310,53.0,0.016304826,14657
320,53.0,0.016693201,15113
330,54.0,0.017091058,15559
340,54.0,0.017528299,16004
350,55.0,0.017953142,16459
360,53.0,0.018514371,16909
370,52.0,0.018931555,17380
380,53.0,0.01932467,17828
390,53.0,0.019818436,18290
400,51.0,0.020218116,18745
410,52.0,0.020665933,19205
420,51.0,0.02116845,19663
430,51.0,0.021695765,20118
440,51.0,0.022096539,20562
450,51.0,0.022495125,21017
460,53.0,0.022875113,21470
470,52.0,0.023348821,21933
480,53.0,0.023735008,22397
490,52.0,0.024184648,22844
500,51.0,0.024947541,23288
510,51.0,0.025359256,23735
520,50.0,0.025748725,24195
530,51.0,0.026188519,24640
540,51.0,0.02657033,25086
550,51.0,0.02695834,25538
560,51.0,0.027362761,25991
570,54.0,0.027925085,26438
580,55.0,0.028316377,26892
590,52.0,0.028713505,27346
600,53.0,0.02913543,27810
610,54.0,0.029525629,28261
620,54.0,0.029950107,28716
630,55.0,0.030403029,29163
640,55.0,0.030842093,29605
650,55.0,0.031226092,30077
660,55.0,0.031658227,30532
670,55.0,0.032043685,30989
680,55.0,0.032436437,31455
690,56.0,0.032823353,31916
700,56.0,0.033212093,32386
710,57.0,0.03369273,32830
720,56.0,0.034121219,33292
730,56.0,0.034544602,33749
740,56.0,0.034983667,34185
750,56.0,0.035386264,34646
760,57.0,0.03577938,35108
770,56.0,0.036181977,35574
780,57.0,0.0366378160001,36031
790,58.0,0.0373401730001,36488
800,58.0,0.0377504280001,36950
810,57.0,0.0381388030001,37404
820,57.0,0.038558904,37869
830,56.0,0.038963689,38334
840,59.0,0.03937832,38800
850,59.0,0.039749191,39259
860,60.0,0.0401681980001,39723
870,60.0,0.0405394340001,40181
880,61.0,0.0409372900001,40643
890,62.0,0.0413500990001,41095
900,66.0,0.0417268050001,41548
910,63.0,0.0421768100001,42008
920,64.0,0.0425495040001,42451
930,63.0,0.0429039650001,42899
940,62.0,0.0435508930001,43344
