iterations,fitness,time,fevals
2050,67.0,11.019127752,226500
2060,67.0,11.068672387,227600
2070,67.0,11.116135477,228700
2080,67.0,11.16669718,229800
2090,67.0,11.214753226,230900
2100,67.0,11.263462399,232000
2110,68.0,11.315943369,233100
2120,67.0,11.366031729,234200
2130,66.0,11.415273322,235300
2140,67.0,11.466971706,236400
2150,68.0,11.517467404,237500
2160,68.0,11.565855665,238600
2170,66.0,11.616982974,239700
2180,66.0,11.665287361,240800
2190,67.0,11.715321385,241900
2200,67.0,11.766117937,243000
2210,67.0,11.815947745,244100
2220,67.0,11.86503727,245200
2230,67.0,11.913770146,246300
2240,67.0,11.963685287,247400
2250,66.0,12.014657246,248500
2260,68.0,12.064815258,249600
2270,65.0,12.115848117,250700
2280,72.0,12.163279845,251800
2290,66.0,12.21164732,252900
2300,67.0,12.260045428,254000
2310,67.0,12.309133129,255100
2320,66.0,12.357428764,256200
2330,68.0,12.405472411,257300
2340,74.0,12.456834203,258400
2350,67.0,12.507193149,259500
2360,70.0,12.55819647,260600
2370,68.0,12.608674663,261700
2380,66.0,12.65956603,262800
2390,67.0,12.710455573,263900
2400,65.0,12.760690166,265000
2410,66.0,12.810609319,266100
2420,68.0,12.861744286,267200
2430,65.0,12.913572129,268300
2440,67.0,12.960822615,269400
2450,67.0,13.009715946,270500
2460,66.0,13.059726995,271600
2470,68.0,13.108043052,272700
2480,65.0,13.157767469,273800
2490,66.0,13.2084156,274900
2500,69.0,13.257152488,276000
2510,66.0,13.30780937,277100
2520,66.0,13.356022589,278200
2530,68.0,13.407499253,279300
2540,66.0,13.457980364,280400
2550,72.0,13.506798573,281500
2560,68.0,13.553271944,282600
2570,66.0,13.603317637,283700
2580,68.0,13.652346626,284800
2590,66.0,13.700378238,285900
2600,68.0,13.750726609,287000
2610,68.0,13.797767409,288100
2620,68.0,13.845715147,289200
2630,68.0,13.894566177,290300
2640,67.0,13.945493282,291400
2650,67.0,13.993088748,292500
2660,68.0,14.041341351,293600
2670,68.0,14.090318557,294700
2680,66.0,14.137966171,295800
2690,70.0,14.187450635,296900
2700,66.0,14.240091695,298000
2710,65.0,14.289300832,299100
2720,67.0,14.339242959,300200
2730,66.0,14.387010914,301300
2740,66.0,14.436580346,302400
2750,64.0,14.484482135,303500
2760,66.0,14.532606374,304600
2770,67.0,14.580640904,305700
2780,67.0,14.630225653,306800
2790,69.0,14.677392994,307900
2800,69.0,14.723976131,309000
2810,67.0,14.773138955,310100
2820,67.0,14.821074294,311200
2830,67.0,14.868533372,312300
2840,67.0,14.919230004,313400
2850,66.0,14.967113925,314500
2860,67.0,15.016302275,315600
2870,67.0,15.066800526,316700
2880,64.0,15.11799457,317800
2890,67.0,15.165945225,318900
2900,65.0,15.213826228,320000
2910,67.0,15.261161318,321100
2920,66.0,15.31057066,322200
2930,68.0,15.358998671,323300
2940,67.0,15.404727383,324400
2950,66.0,15.45560088,325500
2960,67.0,15.502159584,326600
2970,65.0,15.549335677,327700
2980,64.0,15.596813354,328800
2990,64.0,15.646512609,329900
3000,66.0,15.69366974,331000
3010,73.0,15.745157344,332100
3020,66.0,15.793409218,333200
3030,65.0,15.841438643,334300
3040,65.0,15.891608324,335400
3050,69.0,15.940845905,336500
3060,66.0,15.989106532,337600
3070,66.0,16.036926635,338700
3080,67.0,16.082983916,339800
3090,67.0,16.131781338,340900
3100,66.0,16.179467607,342000
3110,72.0,16.227607892,343100
3120,66.0,16.275177831,344200
3130,66.0,16.324814727,345300
3140,66.0,16.371371973,346400
3150,67.0,16.419138105,347500
3160,66.0,16.46903246,348600
3170,72.0,16.518745573,349700
3180,67.0,16.56766662,350800
3190,65.0,16.616672635,351900
3200,68.0,16.666863832,353000
3210,64.0,16.713494012,354100
3220,67.0,16.764318644,355200
3230,66.0,16.814728279,356300
3240,69.0,16.861763244,357400
3250,69.0,16.909813455,358500
3260,65.0,16.957250289,359600
3270,64.0,17.007600848,360700
3280,65.0,17.055097488,361800
3290,66.0,17.103534616,362900
3300,64.0,17.154249117,364000
3310,66.0,17.203772965,365100
3320,66.0,17.252358514,366200
3330,66.0,17.300672018,367300
3340,69.0,17.35216728,368400
3350,64.0,17.39832521,369500
3360,66.0,17.446818497,370600
3370,67.0,17.495448171,371700
3380,69.0,17.54135302,372800
3390,67.0,17.589690957,373900
3400,66.0,17.638430397,375000
3410,67.0,17.686768334,376100
3420,67.0,17.737076591,377200
3430,65.0,17.786193466,378300
3440,66.0,17.834686024,379400
3450,67.0,17.882376304,380500
3460,67.0,17.930577488,381600
3470,68.0,17.980622087,382700
3480,65.0,18.028404265,383800
3490,66.0,18.075347333,384900
3500,67.0,18.125556399,386000
3510,61.0,18.175972963,387100
3520,68.0,18.229790819,388200
3530,66.0,18.278050351,389300
3540,67.0,18.325522558,390400
3550,63.0,18.374909289,391500
3560,63.0,18.423674621,392600
3570,69.0,18.474172142,393700
3580,66.0,18.522203025,394800
3590,66.0,18.57236906,395900
3600,66.0,18.623101794,397000
3610,66.0,18.671941519,398100
3620,68.0,18.719499423,399200
3630,67.0,18.768464595,400300
3640,62.0,18.814747608,401400
3650,66.0,18.86405083,402500
3660,65.0,18.912832936,403600
3670,66.0,18.962555531,404700
3680,65.0,19.00982498,405800
3690,70.0,19.057828878,406900
3700,67.0,19.106561754,408000
3710,64.0,19.153494247,409100
3720,63.0,19.201689233,410200
3730,63.0,19.248525088,411300
3740,67.0,19.301219026,412400
3750,68.0,19.349306798,413500
3760,68.0,19.398669826,414600
3770,66.0,19.447473449,415700
3780,68.0,19.496478735,416800
3790,70.0,19.544410428,417900
3800,64.0,19.591655444,419000
3810,67.0,19.640068867,420100
3820,64.0,19.688062554,421200
3830,66.0,19.7358688,422300
3840,67.0,19.782886991,423400
3850,65.0,19.833498655,424500
3860,69.0,19.882778538,425600
3870,64.0,19.930764567,426700
3880,67.0,19.978715951,427800
3890,67.0,20.028840778,428900
3900,68.0,20.077026282,430000
3910,67.0,20.127020921,431100
3920,66.0,20.175724988,432200
3930,70.0,20.223804372,433300
3940,67.0,20.27201905,434400
3950,83.0,20.321553838,435500
3960,68.0,20.370673266,436600
3970,67.0,20.418469301,437700
3980,67.0,20.466816719,438800
3990,67.0,20.514537996,439900
4000,65.0,20.563650495,441000
4010,67.0,20.613090834,442100
4020,67.0,20.659623646,443200
4030,68.0,20.709279141,444300
4040,67.0,20.75797008,445400
