k,Kmeans,GMM
2,0.4435106209466725,0.4116746377089606
3,0.4395600378481394,0.4231495791104326
4,0.40191625009272786,0.3411907282919862
5,0.3542946409292044,0.2175963228025253
6,0.2824847613902951,0.1845278462936437
7,0.28220623934327366,0.19728836099297256
8,0.288662044543608,0.19545342631575738
9,0.28879246927303187,0.18808047685931997
10,0.28941588237644356,0.15208293061264755
15,0.26048987911342153,0.08761096686238451
20,0.24531889646215457,0.035019869301768924
