k,Kmeans,GMM
2,0.3756748650269946,0.3759748050389922
3,0.42156568686262746,0.4176664667066587
4,0.4398620275944811,0.48410317936412717
5,0.4980503899220156,0.5778344331133773
6,0.6043791241751649,0.7002099580083984
7,0.6375224955008998,0.7703959208158369
8,0.7645470905818836,0.8479304139172166
9,0.7808938212357528,0.8458308338332333
10,0.8269346130773845,0.8282843431313738
15,0.8288842231553689,0.8459808038392321
20,0.8158368326334733,0.8774745050989802
