iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed 
0,0.298339062425,0.299610485472,0.249046086466,0.245765526403,1.350642223
10,0.302206539194,0.303497863577,0.249046086466,0.245765526403,15.672452426
20,0.302279079484,0.303570522325,0.249046086466,0.245765526403,30.432523377
30,0.302435710586,0.303727920469,0.249046086466,0.245765526403,45.327537734
40,0.300913300813,0.302197802055,0.249046086466,0.245765526403,64.079625294
50,0.308756898245,0.310083375343,0.249046086466,0.245765526403,78.932299828
60,0.29365067986,0.294898747522,0.249046086466,0.245765526403,93.785308768
70,0.290111236307,0.29134072035,0.249046086466,0.245765526403,109.085727703
80,0.291854849874,0.29309444852,0.249046086466,0.245765526403,123.976865966
90,0.291325146949,0.292562090253,0.249046086466,0.245765526403,138.508006359
100,0.288863460843,0.290086866184,0.249046086466,0.245765526403,153.18131029
110,0.286349959769,0.287562541752,0.249046086466,0.245765526403,167.706841673
120,0.285185199677,0.286392054248,0.249046086466,0.245765526403,182.219235034
130,0.286871696914,0.288087483333,0.249046086466,0.245765526403,196.864344023
140,0.285352982902,0.286560370155,0.249046086466,0.245765526403,211.258465299
150,0.283891145549,0.285090674596,0.249046086466,0.245765526403,226.047240273
160,0.283934389969,0.28513341089,0.249046086466,0.245765526403,240.790309874
170,0.283092784864,0.284287172651,0.249046086466,0.245765526403,255.838336015
180,0.283492464879,0.284688790033,0.249046086466,0.245765526403,270.524965408
190,0.281260856082,0.282444018226,0.249046086466,0.245765526403,284.98294176
200,0.261318848312,0.262390768779,0.249046086466,0.245765526403,299.688819973
210,0.263868825108,0.26495438196,0.249046086466,0.245765526403,314.486739813
220,0.265266938861,0.26636032674,0.249046086466,0.245765526403,329.440974999
230,0.258878406425,0.259936278297,0.249046086466,0.245765526403,344.417126212
240,0.255291137537,0.256328721143,0.249046086466,0.245765526403,359.205161268
250,0.251996901195,0.253015580129,0.249046086466,0.245765526403,374.059863742
