iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed 
0,0.237178292081,0.237854096712,0.249046086466,0.245765526403,1.532629712
10,0.235870604126,0.236538875756,0.249046086466,0.245765526403,16.511492257
20,0.233643643693,0.234299725433,0.249046086466,0.245765526403,32.099557507
30,0.239263700763,0.240031125471,0.249046086466,0.245765526403,46.702642483
40,0.239283259739,0.240051625519,0.249046086466,0.245765526403,61.240982584
50,0.239742223344,0.240515836523,0.249046086466,0.245765526403,75.630196842
60,0.24625539501,0.247066274014,0.249046086466,0.245765526403,90.169266287
70,0.237042405944,0.237798162901,0.249046086466,0.245765526403,104.634003645
80,0.236523350338,0.23727745887,0.249046086466,0.245765526403,120.114402917
90,0.230758288002,0.231469683923,0.249046086466,0.245765526403,137.243519601
100,0.225202509612,0.225891312165,0.249046086466,0.245765526403,151.420247067
110,0.222639156258,0.223312350228,0.249046086466,0.245765526403,165.941065432
120,0.21863474253,0.219285999594,0.249046086466,0.245765526403,180.372403258
130,0.21549219599,0.216111183359,0.249046086466,0.245765526403,194.588378497
140,0.212287555537,0.212881918287,0.249046086466,0.245765526403,208.949270541
150,0.211166089598,0.211752345926,0.249046086466,0.245765526403,226.080914037
160,0.209094912825,0.209667483516,0.249046086466,0.245765526403,241.711537544
170,0.20800032663,0.208564336732,0.249046086466,0.245765526403,256.213753654
180,0.206527399229,0.207084095348,0.249046086466,0.245765526403,271.780785746
190,0.208535572041,0.209105489998,0.249046086466,0.245765526403,286.716149913
200,0.206436040309,0.206992708302,0.249046086466,0.245765526403,301.380298765
210,0.203389775783,0.203922159735,0.249046086466,0.245765526403,316.261987295
220,0.202575488061,0.203097341614,0.249046086466,0.245765526403,334.19915622
230,0.199971587205,0.200471289601,0.249046086466,0.245765526403,349.389311624
240,0.204046691057,0.204578064968,0.249046086466,0.245765526403,363.939205978
250,0.198646033238,0.199136897865,0.249046086466,0.245765526403,378.558275234
