iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed 
0,0.106936435559,0.105546511998,0.750953913534,0.754234473597,1.435862305
10,0.10708431661,0.105691985303,0.750953913534,0.754234473597,15.855597015
20,0.106925180938,0.1055355049,0.750953913534,0.754234473597,30.684803485
30,0.106655954572,0.105269627829,0.750953913534,0.754234473597,45.291978614
40,0.106752572,0.105362942516,0.750953913534,0.754234473597,60.482223362
50,0.108390391483,0.106967650953,0.750953913534,0.754234473597,75.351809178
60,0.108554537941,0.107130802957,0.750953913534,0.754234473597,90.001709586
70,0.108425993186,0.106997657621,0.750953913534,0.754234473597,105.145474759
80,0.108799659945,0.107366342828,0.750953913534,0.754234473597,120.394732471
90,0.108851231784,0.107416988767,0.750953913534,0.754234473597,136.313290384
100,0.108575532087,0.107144377398,0.750953913534,0.754234473597,151.556738148
110,0.109197778725,0.107749142491,0.750953913534,0.754234473597,166.391154677
120,0.109215982038,0.107766462534,0.750953913534,0.754234473597,181.775901708
130,0.109225196109,0.107775033632,0.750953913534,0.754234473597,196.624792776
140,0.108722374231,0.107281211325,0.750953913534,0.754234473597,211.348843665
150,0.109395052235,0.10794163879,0.750953913534,0.754234473597,226.06473685
160,0.109908001524,0.108443947124,0.750953913534,0.754234473597,240.630798551
170,0.109046806286,0.107600010501,0.750953913534,0.754234473597,255.141410492
180,0.109122690527,0.107673790131,0.750953913534,0.754234473597,270.273139319
190,0.108898843792,0.107450737386,0.750953913534,0.754234473597,285.146064795
200,0.109187073116,0.107733738872,0.750953913534,0.754234473597,300.57506289
210,0.109076145534,0.107626763188,0.750953913534,0.754234473597,315.362613297
220,0.109366607437,0.107910089784,0.750953913534,0.754234473597,330.332693096
230,0.109451670075,0.107991892264,0.750953913534,0.754234473597,345.082296515
240,0.109458818211,0.108000223903,0.750953913534,0.754234473597,359.848288638
250,0.109206882494,0.107751224308,0.750953913534,0.754234473597,375.737286643
