iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed 
0,0.102575392025,0.102286226713,0.750953913534,0.754234473597,1.405937727
10,0.108913357734,0.108772458128,0.750953913534,0.754234473597,16.286813403
20,0.109762006308,0.109637744602,0.750953913534,0.754234473597,30.815361711
30,0.10725788445,0.107066431142,0.750953913534,0.754234473597,46.160091149
40,0.101550655398,0.101223548068,0.750953913534,0.754234473597,61.080651474
50,0.101444868876,0.101113496518,0.750953913534,0.754234473597,75.981634411
60,0.101280593508,0.100944467942,0.750953913534,0.754234473597,91.091663458
70,0.100159537709,0.0997924208282,0.750953913534,0.754234473597,106.547175358
80,0.100192327205,0.0998210204067,0.750953913534,0.754234473597,121.957792915
90,0.0996684963942,0.0992814400815,0.750953913534,0.754234473597,136.995512712
100,0.0993635957603,0.0989733480405,0.750953913534,0.754234473597,151.959483167
110,0.100388251376,0.100030643688,0.750953913534,0.754234473597,166.710450823
120,0.0995265675973,0.0991403634716,0.750953913534,0.754234473597,181.492734645
130,0.0985542791755,0.0981304543509,0.750953913534,0.754234473597,195.865978843
140,0.0975289312159,0.0970681796459,0.750953913534,0.754234473597,211.257516421
150,0.0982151509985,0.0977814889851,0.750953913534,0.754234473597,227.070121949
160,0.0981753548925,0.0977421041042,0.750953913534,0.754234473597,243.284978739
170,0.0990757260283,0.0986733794711,0.750953913534,0.754234473597,258.402869376
180,0.0985054821322,0.098079139014,0.750953913534,0.754234473597,273.391438747
190,0.0975565816543,0.0970921675956,0.750953913534,0.754234473597,288.173691209
200,0.0974404020613,0.096968745332,0.750953913534,0.754234473597,302.838471675
210,0.0975618708776,0.0970960007307,0.750953913534,0.754234473597,317.986148681
220,0.0985876161589,0.098160792197,0.750953913534,0.754234473597,332.673350241
230,0.0982908751002,0.0978541388865,0.750953913534,0.754234473597,347.019759725
240,0.0983109138287,0.0978764481964,0.750953913534,0.754234473597,361.433852965
250,0.0982752645586,0.0978396941882,0.750953913534,0.754234473597,377.147827612
