,0
0,0.6273961684896483
1,0.06976823819916482
2,0.03650904187746303
3,0.034314439393879084
4,0.032166254741441615
5,0.03132463365328841
6,0.02373411517394873
7,0.019062676576275667
8,0.016931444015450842
9,0.01504993213628029
10,0.007505900799107672
11,0.006983779118352363
12,0.0059918509737852815
13,0.005169963440400109
14,0.0050131145897945725
15,0.005006820734576114
16,0.004526273459926206
17,0.004257556411617289
18,0.0034736827413367633
19,0.003166696083200297
20,0.003084075547933594
21,0.0029250571202373943
22,0.002656672377465025
23,0.0018662443969443942
24,0.0018205234390420788
25,0.001817578533407089
26,0.0017504065419121236
27,0.0016020376416028563
28,0.0015711464937018874
29,0.0015106393967205423
30,0.0014546360260243626
31,0.0013240607624408842
32,0.0013124960667549844
33,0.0011874138063609088
34,0.0010666014901812772
35,0.001066391242604706
36,0.0009742729090702499
37,0.000970904568317442
38,0.0009707421776027612
39,0.000950663036112494
40,0.0008784057661065319
41,0.0007728353223624291
42,0.0007598761830621194
43,0.0007550470461740601
44,0.0006848838947097395
45,0.000677641882706768
46,0.0006716790073536221
47,0.0006710235842790622
48,0.0006574624859941904
49,0.0005803697284684522
50,0.0005685175838916314
51,0.0005563660027870244
52,0.0005113105643094114
53,0.00047712345677046637
54,0.0004478232502635549
55,0.0004438618299156345
56,0.00023141095810564618
57,0.0001887213626808686
58,0.00012899482975085993
59,5.6108786520300175e-05
60,2.3177266180535433e-05
61,1.9710368479966123e-05
62,2.502655752691641e-06
63,0.0
64,0.0
65,0.0
