k,Dry Beans Data sse (left)
2,77941.0750198333
3,56942.60350746904
4,43283.25699058934
5,35609.493856039
6,31185.00636596661
7,27637.876211300885
8,24943.211631789003
9,22961.952385536253
10,21117.284537809446
15,16439.92546951656
20,13864.555802750123
