k,Dry Beans Data BIC
2,38328.11208512544
3,23214.453354746485
4,10363.848402663585
5,4151.524146607451
6,-2421.303074966545
7,-6504.037940979544
8,-11481.7168275383
9,-16809.903143566917
10,-19022.187033951916
15,-26154.904805181995
20,-33205.28530306119
