k,Kmeans,GMM
2,0.3134756939777982,0.30786742793261834
3,0.3416591162799015,0.3188859272255641
4,0.3766491698764371,0.34557631051053894
5,0.37108058372022695,0.3686004484592484
6,0.3737678188060521,0.28058977807062896
7,0.3061886062275076,0.28588691439642505
8,0.3103697841715316,0.2566704365820876
9,0.309389055292034,0.23475805276454936
10,0.314214432988224,0.20815268939749118
15,0.267434138419113,0.15396931650571022
20,0.26267404522059395,0.10568975081161568
