,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.252157211303711,0.09916499431724654,0.0031177043914794923,0.0007962634673225696,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 2}",0.7029193715256821,0.6977151477586976,0.7175823982717613,0.6906705584554927,0.6832961679954657,0.6984367288014198,0.011633756124510392,209
1,2.63074107170105,0.8226891214270526,0.0033589839935302735,0.0004578259197271046,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 3}",0.8603882764697512,0.8763692940545957,0.8666294022353446,0.8546387625560833,0.8680657978612597,0.8652183066354068,0.007344383729406774,157
2,1.3687963485717773,0.4163020707734889,0.003127384185791016,0.00025460721736700364,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 4}",0.8393455979277425,0.8608999585092206,0.8602503829784535,0.8492824308890808,0.8568615991349523,0.85332799388789,0.008119291369985222,169
3,1.7027820110321046,0.4236811335016623,0.0036472320556640626,0.0012268099414872366,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 5}",0.9042939656518985,0.884802195911716,0.8881250089052836,0.8368680354816849,0.8706009109342138,0.8769380233769594,0.022720494522155993,146
4,1.50639066696167,0.2595026158247842,0.003088092803955078,0.0001757861719708979,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 6}",0.8989308877421702,0.9018757579703852,0.9000985148281772,0.886273591032671,0.8942566538314406,0.8962870810809689,0.0056061157320992675,73
5,1.3682799816131592,0.12345382712500218,0.0027998924255371095,0.00040001876306754863,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 7}",0.917489898468614,0.8983798438453895,0.8921150237180457,0.8883015066751141,0.9116358797040631,0.9015844304822453,0.01122845179149126,26
6,1.1828103542327881,0.23325104505623284,0.0036956310272216798,0.0005938766965460467,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 8}",0.9066090962317377,0.9020061331365604,0.8874706017717906,0.8935301274743112,0.9166918170881635,0.9012615551405126,0.010170633652468586,30
7,1.2764752388000489,0.15698800213752853,0.0036814212799072266,0.0007046241580168257,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 9}",0.9105905669764655,0.9046249496537331,0.8918373828553626,0.8922959130060077,0.9038222999485318,0.9006342224880202,0.007377402379137103,41
8,1.5663132190704345,0.2979307755209207,0.0029569149017333986,0.00011678377705067037,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 10}",0.906458235283897,0.9137943583827991,0.8895882883790458,0.8908585651194285,0.9066717882223589,0.9014742470775058,0.009566696740100508,27
9,1.4838478565216064,0.1473027952351236,0.0038602352142333984,0.0010798962504559055,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 15}",0.8960826718105168,0.899319131101838,0.89176574199329,0.8888876136329269,0.9187433951840553,0.8989597107445254,0.010516663279226679,49
10,1.9877272605895997,0.4493338523925286,0.0035371780395507812,0.0004533531131036839,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 20}",0.9054789921227322,0.9058329440890445,0.8926462699920198,0.8994208642668229,0.9064045303748698,0.9019567201690977,0.005297727340595211,21
11,1.205406618118286,0.12432421286664717,0.0025998592376708985,0.0004898040697486511,0.1,"(32,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 2}",0.7041281151167267,0.6850265796444188,0.7050562260025761,0.6569620025489233,0.6388925584467695,0.6780130963518829,0.026214801355621375,217
12,1.5988059997558595,0.18005561650467997,0.0025574684143066405,0.0004801301594286538,0.1,"(32,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 3}",0.8373004659719476,0.8375298167730256,0.8366012979765078,0.7792041298021658,0.7434001807362784,0.8068071782519851,0.03884272467658786,194
13,1.1438090801239014,0.22001148053270314,0.0024007320404052734,0.0004893192372906987,0.1,"(32,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 4}",0.8347176299295729,0.8406410271052639,0.8442672887451461,0.8321075687656401,0.854931924135607,0.841333087736246,0.008036060193441245,177
14,1.1651154041290284,0.20368766003353764,0.0025012969970703127,0.00044718681040992685,0.1,"(32,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 5}",0.8869369949163612,0.8664154300732086,0.8569963590820335,0.8456976421952023,0.8588781044502826,0.8629849061434177,0.013689770355183144,160
15,1.287715768814087,0.3307836753762398,0.0010339736938476563,0.0012673610773675007,0.1,"(32,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 6}",0.89415308340449,0.8897331983452959,0.8926979700687061,0.8819173638284973,0.8992054865194962,0.891541420433297,0.0057059343171792275,121
16,1.1267496585845946,0.32790971812908104,0.0067517757415771484,0.0073047905871940644,0.1,"(32,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 7}",0.8987273292074197,0.892527439210908,0.8857550548421638,0.8791142054064444,0.9045206200791193,0.8921289297492111,0.009025087317941938,115
17,1.3487089633941651,0.32049080307401856,0.0,0.0,0.1,"(32,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 8}",0.9043693142122363,0.9054938774709079,0.8921260501210014,0.8761125765590182,0.8987571063691763,0.8953717849464681,0.010736150086182578,85
18,1.243199396133423,0.24457324452910742,0.002395963668823242,0.002998691920559794,0.1,"(32,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 9}",0.9083255925527511,0.9017572682289432,0.8594287052156109,0.8854561323581223,0.9000513671772782,0.8910038131065411,0.017465985657419008,125
19,1.6644171714782714,0.3436857608852735,0.00554189682006836,0.01108379364013672,0.1,"(32,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 10}",0.9018885959592235,0.9031386864292982,0.888816205511323,0.8902132347972158,0.8759010534663612,0.8919915552326844,0.009943434673929337,117
20,1.7100212574005127,0.5527678873933244,0.0,0.0,0.1,"(32,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 15}",0.8942828209062224,0.8917605948185221,0.8868874721956337,0.8838699698764332,0.908713202305287,0.8931028120204196,0.008611086760994409,112
21,2.188782978057861,0.5176661848692675,0.006384801864624023,0.00782250752342708,0.1,"(32,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 20}",0.9012639938423004,0.9008714535285449,0.8946142769174342,0.8846201092278035,0.8961435975620798,0.8955026862156327,0.006027384977922895,81
22,1.8690738677978516,0.18416479444742342,0.001402139663696289,0.002804279327392578,0.1,"(16,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 2}",0.7016118651359736,0.6953020078289633,0.7052963568542363,0.679823247134392,0.6318629531765824,0.6827792860260294,0.02690618587883843,214
23,1.8585005760192872,0.5754491607797837,0.0020095348358154298,0.0040190696716308595,0.1,"(16,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 3}",0.8239240982982201,0.8456108582374645,0.7941036922838086,0.7392998646051085,0.7302139642700808,0.7866304955389365,0.04549364413939321,197
24,0.9747788429260253,0.25464742446318056,0.004106903076171875,0.004344620628532924,0.1,"(16,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 4}",0.808057492397279,0.8448337751367965,0.8344667373468226,0.826061055213264,0.7914096601860736,0.8209657440560469,0.01906885931519261,191
25,1.6893810272216796,0.2078203797988664,0.0039276123046875,0.006051321335299309,0.1,"(16,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 5}",0.8630276006565624,0.8716066250992931,0.8592638878707173,0.8486889680163637,0.854884943738272,0.8594944050762416,0.0077103448296281735,163
26,1.1850394248962401,0.29765026780164827,0.013510322570800782,0.014154670751362352,0.1,"(16,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 6}",0.8998878693246747,0.8920055532174618,0.8667255191919976,0.8811389276361399,0.8653107000840887,0.8810137138908726,0.01362209311355551,141
27,1.3211419105529785,0.31082489077894615,0.0007031917572021485,0.0014063835144042971,0.1,"(16,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 7}",0.9036974401093633,0.8827347595938011,0.8859055645379563,0.8719428390579133,0.9023589080104095,0.8893279022618887,0.012113736641619839,134
28,1.4338805198669433,0.2894012107653586,0.0,0.0,0.1,"(16,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 8}",0.9048732195930438,0.8844098486063571,0.8835514628246812,0.878316046651249,0.9018339208558398,0.8905968997062341,0.010666031012047324,128
29,1.1888984203338624,0.1844707121671242,0.0031244754791259766,0.006248950958251953,0.1,"(16,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 9}",0.8776876426504918,0.8954655165811942,0.8894618400431629,0.8749913678928799,0.9005883695868199,0.8876389473509099,0.009912168191828946,136
30,1.5254011631011963,0.3359382182576861,0.0003986835479736328,0.0007973670959472658,0.1,"(16,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 10}",0.9057913401691252,0.9013708282961633,0.8893684413411175,0.8840308469098501,0.9068475023756056,0.8974817918183724,0.009150345432384849,60
31,1.6461050510406494,0.33180474801141624,0.0013042449951171874,0.0019432545041720873,0.1,"(16,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 15}",0.9043912190905408,0.8941642502302372,0.8782320932637252,0.889501975972142,0.8851981847726216,0.8902975446658534,0.008784014903390765,130
32,1.8021272659301757,0.3094938692130144,0.0011115074157714844,0.0011716527653613832,0.1,"(16,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 20}",0.8945642820278557,0.9019374518178791,0.8941018399106954,0.8826845113445939,0.8971843182262375,0.8940944806654523,0.006347715495063935,103
33,1.3090782165527344,0.30406632218248747,0.0,0.0,0.1,"(16, 16)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'km__n_clusters': 2}",0.6971483957287908,0.6984435399421703,0.7166647832705946,0.6571134907369276,0.6939102514153056,0.6926560922187577,0.019467624525794203,212
34,1.4340187072753907,0.4270367918066419,0.003126382827758789,0.006252765655517578,0.1,"(16, 16)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'km__n_clusters': 3}",0.8457066574847585,0.866720741919791,0.8643625562776681,0.6992851265227951,0.7429919022131368,0.8038133968836298,0.06928779627784094,195
35,0.9513327121734619,0.1411298879924562,0.0,0.0,0.1,"(16, 16)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'km__n_clusters': 4}",0.8329127911152263,0.8331583620930996,0.8422289463955694,0.831601877892564,0.8265279190879905,0.8332859793168899,0.005072273482864725,186
36,1.6447065830230714,0.15140841643585096,0.0,0.0,0.1,"(16, 16)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'km__n_clusters': 5}",0.8735536106434888,0.8841341119802284,0.8757949265944823,0.8579694054679183,0.8802214929886132,0.8743347095349462,0.008958214490181013,150
37,1.246842384338379,0.2127850244662303,0.0,0.0,0.1,"(16, 16)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'km__n_clusters': 6}",0.8931302403790554,0.8994330861504936,0.8871495818909702,0.8869973915565434,0.9057956668705301,0.8945011933695184,0.007268031964019962,97
