k,Dry Beans Data log-likelihood
2,7.174425873136611
3,8.636387796737408
4,9.825404791396876
5,10.632088087225828
6,11.529727519195928
7,11.892058541942493
8,12.297914275061753
9,12.554787810479764
10,12.726794065037
15,13.730910859488617
20,14.323434024508844
