k,Dry Beans Data sse (left)
2,26056.77844842213
3,15403.575820438342
4,11150.545708683188
5,7279.527535408657
6,5390.7169851490125
7,4669.662752704106
8,4171.248512042964
9,3830.4938493941263
10,3571.8992009909352
15,2485.1535205276464
20,1965.0129300351598
