k,Dry Beans Data BIC
2,30879.552589021725
3,20710.792398971917
4,15423.786225692244
5,2047.1138330258063
6,-9642.077056711985
7,-11799.953300125775
8,-18993.17079707795
9,-20713.840177260638
10,-24212.182606872277
15,-32364.230646401596
20,-37910.539961017625
