k,Dry Beans Data log-likelihood
2,-2.2567412186800566
3,-1.4645255186182697
4,-1.038368158146325
5,-0.005607151949518069
6,0.9006180486887522
7,1.092137591984191
8,1.6612322142792086
9,1.8199677996239048
10,2.1120022039119837
15,2.8718394841609505
20,3.4362854383066415
