k,Dry Beans Data sse (left)
2,53595.05433629744
3,39007.38638917609
4,31383.308357621092
5,26350.067475038533
6,23099.96274892561
7,20638.03084518487
8,18783.715080657545
9,17287.041749887885
10,16253.931392381053
15,12765.268524701136
20,11020.929076204879
