,0
1,4.806798431782952
2,3.1056498310868452
3,2.4101188994414424
4,1.9935033739930017
5,1.796247229109489
6,1.7538502891852685
7,1.4480942972087723
8,1.4370628993065342
9,1.3570915144886722
10,1.302180000166222
11,1.2510421122954047
12,1.2385806903925882
13,1.1950068308427346
14,1.1731587342195484
15,1.1502679419355524
16,1.1418667671363154
17,1.1283600232528217
18,1.1173538415126798
19,1.1063495875522749
20,1.083782853411318
21,1.0765636665539093
22,1.05723285819805
23,1.0510872462938703
24,1.046957523170717
25,1.0418090718211204
26,1.037835082430432
27,1.0297226552736016
28,1.0149615294088143
29,1.0146969038691835
30,1.008278722497826
31,1.00102170015775
32,0.9937717294639954
33,0.9870269927441523
34,0.9789033786048984
35,0.9764260277751807
36,0.9733696752706158
37,0.9695247592540365
38,0.9600745097026161
39,0.9512140583239288
40,0.9454010932565144
41,0.9330843140158441
42,0.9224086564953413
43,0.9059111605289525
44,0.8971040735046556
45,0.8513555372530989
46,0.8409390965410738
47,0.7982107219861269
48,0.751075563966621
49,0.7116124297829161
50,0.6571178959847424
51,0.6112917354590988
52,0.5541098490550143
53,0.5368531959762595
54,0.4857158734983552
55,0.4194936709278505
56,0.018103016983674253
57,7.020422183805267e-30
58,5.564413777604679e-31
59,4.665321208341917e-31
60,4.189163094707991e-31
61,2.240182865236155e-31
62,1.7872072363255825e-31
63,1.5421229912587053e-31
64,1.2816814380931605e-32
