iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.103644308217,0.103245127248,0.751849762766,0.755828628363,2.097740349
5,0.102214478083,0.101781403861,0.751484787153,0.755297243441,13.033697835
10,0.101604680709,0.101156100929,0.75141842795,0.755230820325,24.233607468
15,0.101472672821,0.10102032989,0.751352068748,0.75503155098,35.186569585
20,0.101798515677,0.101352440894,0.751318889147,0.754832281634,46.350535374
25,0.101651199879,0.101203563694,0.751352068748,0.75503155098,59.472946114
30,0.101215465298,0.100755647155,0.751285709546,0.754832281634,71.764420021
35,0.10096792513,0.100500879961,0.751285709546,0.754832281634,84.054755424
40,0.100442247205,0.0999616805268,0.751285709546,0.754832281634,97.232847491
45,0.100431670826,0.0999507708211,0.751285709546,0.754832281634,109.412042692
50,0.10040739625,0.0999256320721,0.751385248349,0.754898704749,121.609610041
55,0.100303452483,0.0998184509317,0.751352068748,0.754898704749,133.775772611
60,0.100085415653,0.0995944790439,0.751352068748,0.754898704749,145.958778263
65,0.0998759626216,0.0993792648817,0.751285709546,0.754832281634,158.257292152
70,0.0995346655617,0.0990273772689,0.751285709546,0.754832281634,170.904296339
75,0.0992578452157,0.098742918553,0.751285709546,0.754832281634,183.810178272
80,0.0996762206252,0.0991733081372,0.751285709546,0.754832281634,196.330910211
85,0.0990712477869,0.098551430282,0.751285709546,0.754832281634,209.814953281
90,0.0990633272685,0.0985433161909,0.751285709546,0.754832281634,222.37584941
95,0.0992595473836,0.0987468914175,0.751186170742,0.754765858519,234.948072965
