k,Dry Beans Data log-likelihood
2,-7.518133692494815
3,-7.327273180108446
4,-7.165966297465574
5,-6.85122796338764
6,-6.76357189995441
7,-6.716234417723152
8,-6.6565724286653145
9,-6.556132561445887
10,-6.535479497467544
15,-6.4453682585197285
20,-6.3513509802804595
