,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1206,0.09881091117858887,0.01029157725817872,0.0031275272369384764,0.006255054473876953,0.0001,"(32, 16, 32)",11,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 11}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1207,0.10287308692932129,0.0071438541868207575,0.0,0.0,0.0001,"(32, 16, 32)",12,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 12}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1208,0.10178980827331544,0.007023157909658741,0.0005153656005859375,0.001030731201171875,0.0001,"(32, 16, 32)",13,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 13}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1209,0.12585000991821288,0.010082217478552546,0.0031390666961669924,0.006278133392333985,0.0001,"(32, 16, 32)",14,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 14}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1210,0.11382064819335938,0.012370196983395202,0.0,0.0,0.0001,"(32, 16, 32)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 15}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1211,0.10885968208312988,0.008355794753002093,0.001532268524169922,0.002155409734375135,0.0001,"(32, 16, 32)",16,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 16}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1212,0.10689082145690917,0.006257731545681224,0.0003474712371826172,0.0006949424743652343,0.0001,"(32, 16, 32)",17,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 17}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1213,0.1156691074371338,0.012698668139741303,0.0,0.0,0.0001,"(32, 16, 32)",18,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 18}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1214,0.12504243850708008,0.009110472378974128,0.0006165981292724609,0.0012331962585449218,0.0001,"(32, 16, 32)",19,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 19}",0.5,0.5154761904761904,0.5154761904761904,0.5202380952380953,0.5,0.5102380952380952,0.008538295750971953,301
1215,0.17158050537109376,0.0877728608612868,0.0,0.0,0.0001,"(32, 16, 32)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 20}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1216,0.13571720123291015,0.01787880610083402,0.001641702651977539,0.0023793072302308216,0.0001,"(32, 16, 32)",21,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 21}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1217,0.13911843299865723,0.008448315554085933,0.0,0.0,0.0001,"(32, 16, 32)",22,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 22}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
1218,0.14588942527770996,0.005950107247769121,0.0,0.0,0.0001,"(32, 16, 32)",23,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32, 16, 32), 'ica__n_components': 23}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,412
