,0
2,0.8912704309611085
3,2.0901676215448854
4,2.8212044420455196
5,2.8688162828882975
6,2.9115150566102828
7,3.1690678011746494
8,3.723620721022535
9,4.785053082249899
10,7.810579368574179
11,7.591544041652899
12,8.12562722206387
13,8.938902163359488
14,11.202817086157257
15,11.403256536895295
16,26.34942231224537
17,20.907826050945324
18,21.759906701639025
19,21.769789227407706
20,22.360140984901548
21,32.88444272587837
22,34.855670306679954
23,33.54659178607532
24,39.33486505782091
25,40.44558208488218
26,43.678212561491634
27,48.66764073488983
28,49.01389635381133
29,53.19083739309798
30,56.1271179048458
31,73.61403785684871
32,70.1769567428103
33,71.57633017874423
34,76.47008706930578
35,83.9077554559195
36,82.86714966280337
37,78.81767766434965
38,157.24928200751887
39,137.57284967853687
40,153.15888575140212
41,147.91900101517433
42,156.1476393805179
43,194.35518099042298
44,173.40409249116394
45,235.77264998169363
46,201.89016322595648
47,234.02673317154643
48,256.2028152871987
49,252.6113122501688
50,159.45828830436798
51,183.69802812714101
52,182.72869839400056
53,238.87546836870845
54,178.51616695601572
55,211.26886637675608
56,227.20759661474474
57,227.04329277469955
58,223.00312766061998
59,219.00828252416076
60,198.2863555111451
61,184.0349581468305
62,137.02874637133993
63,107.91730953169663
64,92.82558680025423
