k,Dry Beans Data sse (left)
2,61363.003011366
3,44313.85556947594
4,35490.33393849511
5,28502.37215840779
6,25348.742175078067
7,22590.677403160513
8,20844.223849808663
9,19270.674124854544
10,18197.677111950372
15,14948.987850336223
20,12889.411188693255
