k,Dry Beans Data BIC
2,100622.83900810956
3,98262.42979504622
4,96296.14778824216
5,92283.70394510012
6,91299.62926327586
7,90853.24318036108
8,90242.49747440704
9,89087.93798529003
10,88997.41530419614
15,88720.2247221945
20,88390.94320020203
